step,split,ce,acc,cell_err,sec_per_step,gpu_gb
25,train,7.81186149597168,0.00035973519086837766,15.535073776245117,1.290106887817383,3.3869571685791016
50,train,7.560105609893799,0.0012341386638581753,14.066852703094483,1.2631465625762939,3.3869571685791016
75,train,7.5559053802490235,0.0019789121113717558,14.290026168823243,1.2533570702870687,3.3869571685791016
100,train,7.551763610839844,0.000814802460372448,14.520904312133789,1.2480476212501526,3.4004411697387695
125,train,7.4657133674621585,0.001396950762718916,14.625927982330323,1.1808492565155029,3.4004411697387695
150,train,7.458973350524903,0.001040800642222166,13.722278995513916,1.1344098520278931,3.4004411697387695
175,train,7.2967276191711425,0.001489726547151804,12.986573085784912,1.1010054165976388,3.4004411697387695
200,train,7.415198554992676,0.0011913197860121726,13.68748908996582,1.0758014059066772,3.4004411697387695
225,train,7.299468746185303,0.0014192981459200382,12.347890663146973,1.0570203187730578,3.4004411697387695
250,train,7.370791702270508,0.0008364728465676308,13.992819194793702,1.042048002243042,3.4004411697387695
250,val,7.403883412446255,0.0011441647384136712,13.435252474065413,,
275,train,7.372000541687012,0.0024659484066069126,13.18646894454956,1.0807711245796898,3.4004411697387695
300,train,7.4583974456787105,0.0013711850717663765,12.818145694732666,1.066110893090566,3.4004411697387695
325,train,7.255380306243897,0.0018874148465692997,14.360790729522705,1.0536164731245774,3.4004411697387695
350,train,7.042931823730469,0.0020487711951136587,12.474865665435791,1.0427002504893712,3.4004411697387695
375,train,7.298629932403564,0.0008482383750379086,13.07865894317627,1.033193389892578,3.406769275665283
400,train,7.172648983001709,0.00041487688198685644,13.140959701538087,1.025140150785446,3.406769275665283
425,train,7.41849536895752,0.0009818826988339424,13.348896713256837,1.0178871906504912,3.406769275665283
450,train,7.335519924163818,0.0008275946415960789,13.457435512542725,1.0114491976632012,3.406769275665283
475,train,7.176831684112549,0.001959425546228886,12.560304622650147,1.0060209535297595,3.406769275665283
500,train,7.228179321289063,0.0030581541173160076,12.216790504455567,1.0007871723175048,3.406769275665283
500,val,7.293152782591493,0.0011441647673621036,13.079760674390059,,
