step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,6.3148,2.9244,0.0625,0.1250,95.40,1.077
50,train,8.2285,2.6497,0.0000,0.0000,103.00,1.069
75,train,6.6283,2.2214,0.0000,0.0000,55.56,1.073
100,train,5.7807,1.4251,0.0857,0.3429,24.87,1.074
100,val,5.9781,,0.0283,0.1220,36.71,
125,train,5.8623,1.6063,0.0250,0.0250,33.65,1.146
150,train,6.7892,1.0944,0.0000,0.0000,50.24,1.134
175,train,4.1374,0.9976,0.0222,0.3111,9.00,1.123
200,train,8.6926,0.8051,0.0000,0.0000,71.60,1.119
200,val,5.6607,,0.0265,0.1473,38.41,
225,train,7.3915,0.8959,0.0000,0.0000,37.22,1.155
250,train,4.6907,0.8099,0.1552,0.4310,17.26,1.150
275,train,8.7646,0.3680,0.0000,0.0000,71.90,1.146
300,train,7.3683,0.3369,0.0000,0.0000,54.10,1.142
300,val,5.6942,,0.0181,0.1154,37.99,
325,train,5.4915,0.5122,0.0000,0.0000,23.41,1.166
350,train,4.9014,0.2817,0.0000,0.0000,22.87,1.162
375,train,4.0273,0.4020,0.1935,0.3871,9.05,1.158
400,train,7.2516,0.4861,0.0000,0.0200,44.79,1.154
400,val,5.5950,,0.0117,0.1144,34.25,
