step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,6.2735,2.8863,0.0000,0.0000,57.20,1.077
50,train,6.2602,2.6934,0.0000,0.0000,35.81,1.075
75,train,4.6845,1.4752,0.0600,0.2600,8.51,1.077
100,train,4.2220,1.5987,0.0571,0.2000,10.56,1.077
100,val,4.5978,,0.0348,0.1394,15.00,
125,train,4.6289,1.2414,0.0750,0.2750,14.29,1.144
150,train,4.6638,0.9450,0.0000,0.0750,14.40,1.131
175,train,3.3355,1.0748,0.0000,0.3333,7.08,1.122
200,train,4.5487,0.6994,0.0625,0.1875,14.41,1.114
200,val,4.1472,,0.0649,0.2091,14.20,
225,train,4.6307,0.4649,0.0000,0.0556,25.75,1.148
250,train,3.6919,0.5891,0.1034,0.4138,8.71,1.139
275,train,5.3565,0.2271,0.0000,0.0000,29.83,1.134
300,train,4.5430,0.1455,0.1111,0.2222,10.28,1.130
300,val,4.2117,,0.0541,0.2287,14.07,
325,train,3.6098,0.3551,0.0286,0.3143,7.34,1.151
350,train,2.6745,0.2679,0.1579,0.8947,6.15,1.146
375,train,2.7882,0.4824,0.0645,0.6129,7.18,1.142
400,train,4.5881,0.5596,0.1000,0.3000,13.32,1.138
400,val,4.0182,,0.0502,0.2385,12.50,
