step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,6.1093,2.9169,0.0000,0.0000,47.28,1.133
50,train,7.4826,3.3962,0.0000,0.0000,67.31,1.110
75,train,5.9029,2.4749,0.0192,0.1923,30.85,1.105
100,train,5.2797,1.5105,0.0488,0.2195,18.72,1.100
100,val,5.1007,,0.0277,0.1603,28.81,
125,train,4.8172,1.8873,0.0732,0.1951,22.27,1.169
150,train,6.8194,1.2978,0.0000,0.0000,47.04,1.158
175,train,3.4217,1.5300,0.1702,0.6383,8.38,1.149
200,train,6.2930,0.9753,0.0597,0.1940,45.19,1.142
200,val,5.0119,,0.0318,0.1621,27.72,
225,train,7.6541,1.3128,0.0000,0.0000,56.94,1.174
250,train,4.1885,0.9300,0.2034,0.4407,10.90,1.165
275,train,8.2810,0.3416,0.0000,0.0000,62.04,1.159
300,train,7.1046,0.2905,0.0000,0.0000,114.62,1.154
300,val,4.9633,,0.0293,0.1393,28.73,
325,train,5.3434,0.5905,0.0278,0.1111,17.90,1.175
350,train,5.4979,0.3497,0.0000,0.0455,20.18,1.170
375,train,3.0823,0.4805,0.1250,0.5938,6.74,1.164
400,train,7.6573,0.4700,0.0000,0.0000,50.31,1.161
400,val,4.9007,,0.0483,0.1502,27.28,
