step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,7.5752,0.0000,0.0000,0.0000,104.31,1.012
50,train,7.7767,0.0000,0.0000,0.0000,96.37,1.015
75,train,7.0562,0.0000,0.0385,0.0577,27.37,1.022
100,train,6.7803,0.0000,0.0244,0.0732,30.60,1.024
100,val,6.9600,,0.0139,0.0340,44.23,
125,train,6.7475,0.0000,0.0244,0.1220,14.33,1.089
150,train,6.7000,0.0000,0.0233,0.0233,40.31,1.078
175,train,6.8570,0.0000,0.0000,0.0000,48.51,1.072
200,train,7.2484,0.0000,0.0149,0.0597,43.28,1.068
200,val,6.8106,,0.0049,0.0543,44.09,
225,train,6.6276,0.0000,0.0526,0.0526,27.20,1.098
250,train,6.8103,0.0000,0.0169,0.1017,22.22,1.088
275,train,6.6301,0.0000,0.0000,0.0417,42.85,1.085
300,train,6.3455,0.0000,0.0769,0.0769,65.06,1.081
300,val,6.6920,,0.0093,0.0367,49.74,
325,train,6.1496,0.0000,0.1111,0.3056,17.19,1.102
350,train,6.8776,0.0000,0.0455,0.0455,57.78,1.098
375,train,6.1017,0.0000,0.0000,0.0938,28.37,1.092
400,train,6.3852,0.0000,0.0196,0.0392,22.66,1.089
400,val,6.6380,,0.0113,0.0967,48.06,
