step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,7.6155,0.0000,0.0000,0.0000,102.26,1.065
50,train,7.7760,0.0000,0.0000,0.0000,57.39,1.050
75,train,7.1553,0.0000,0.0192,0.0385,22.80,1.048
100,train,6.8240,0.0000,0.0000,0.0000,34.12,1.048
100,val,6.9933,,0.0069,0.0343,44.40,
125,train,6.7466,0.0000,0.0244,0.0732,16.01,1.114
150,train,6.7169,0.0000,0.0000,0.0233,61.62,1.102
175,train,6.9332,0.0000,0.0000,0.0213,74.88,1.093
200,train,7.3145,0.0000,0.0000,0.0299,70.01,1.089
200,val,6.8459,,0.0122,0.0596,46.28,
225,train,6.6392,0.0000,0.0000,0.0526,31.35,1.122
250,train,6.8867,0.0000,0.0169,0.0678,24.96,1.112
275,train,6.6146,0.0000,0.0000,0.0417,37.43,1.105
300,train,6.4419,0.0000,0.0000,0.0769,79.96,1.101
300,val,6.7372,,0.0207,0.0724,51.83,
325,train,6.1832,0.0000,0.0556,0.1667,14.12,1.121
350,train,7.0409,0.0000,0.0000,0.0455,41.55,1.116
375,train,6.1178,0.0000,0.0000,0.0625,26.78,1.112
400,train,6.4030,0.0000,0.0000,0.0196,29.74,1.109
400,val,6.6806,,0.0113,0.0962,48.17,
