step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,5.3676,0.3947,0.0000,0.1053,20.35,1.136
50,train,5.7023,0.5166,0.0000,0.0000,48.90,1.127
75,train,4.4726,0.6027,0.0962,0.4615,27.97,1.122
100,train,2.8341,0.3964,0.2683,0.8293,3.57,1.122
100,val,3.8792,,0.0532,0.1960,26.05,
125,train,3.0640,0.4611,0.2439,0.6829,12.42,1.198
150,train,5.5412,0.4527,0.0000,0.0000,44.24,1.185
175,train,2.8992,0.5396,0.3404,0.7021,7.62,1.178
200,train,4.7603,0.6811,0.0746,0.2239,31.18,1.170
200,val,3.9480,,0.0506,0.1843,25.28,
225,train,6.9254,0.5187,0.0000,0.0000,55.48,1.203
250,train,3.6390,0.6698,0.1695,0.5254,8.90,1.193
275,train,7.6062,0.2555,0.0000,0.0000,50.35,1.185
300,train,6.0535,0.1585,0.0000,0.0000,101.81,1.180
300,val,3.9730,,0.0541,0.2164,27.13,
