step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,5.1066,0.3920,0.0000,0.1053,20.33,1.141
50,train,5.7638,0.5147,0.0000,0.0000,49.00,1.125
75,train,4.2894,0.6046,0.0962,0.4615,27.90,1.117
100,train,2.8383,0.3995,0.2927,0.6585,3.92,1.113
100,val,4.8709,,0.0565,0.2123,24.85,
125,train,3.1168,0.4608,0.2195,0.6829,14.15,1.181
150,train,5.9560,0.4568,0.0000,0.0000,43.96,1.170
175,train,2.9829,0.5412,0.2979,0.7021,7.11,1.165
200,train,4.8172,0.6913,0.0597,0.2090,29.93,1.158
200,val,4.9857,,0.0506,0.1734,25.27,
225,train,6.8252,0.5244,0.0000,0.0000,55.03,1.195
250,train,3.4207,0.6795,0.2034,0.5593,8.51,1.187
275,train,7.6186,0.2552,0.0000,0.0000,51.61,1.182
300,train,6.2920,0.1586,0.0000,0.0000,101.48,1.178
300,val,4.9791,,0.0437,0.1912,27.98,
