step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,6.3880,3.1393,0.0526,0.0526,25.90,1.099
50,train,5.8799,3.6241,0.0000,0.0800,60.50,1.091
75,train,3.8646,1.9457,0.1538,0.5385,5.66,1.093
100,train,2.9017,2.6452,0.1951,0.5610,5.88,1.091
100,val,3.9370,,0.0912,0.3176,14.47,
125,train,3.5942,1.4367,0.1707,0.4634,6.83,1.160
150,train,4.7362,0.9260,0.0465,0.1860,34.74,1.149
175,train,2.7654,1.5165,0.0426,0.7021,5.63,1.140
200,train,2.5652,1.0168,0.1940,0.6716,4.24,1.133
200,val,3.5840,,0.0889,0.3274,12.58,
225,train,4.1139,0.6148,0.0000,0.1579,12.76,1.163
250,train,3.3446,0.5921,0.1695,0.4576,8.29,1.154
275,train,5.2973,0.2596,0.0000,0.0000,22.09,1.147
300,train,3.6064,0.2747,0.0000,0.2308,9.54,1.141
300,val,3.5953,,0.0738,0.3381,11.97,
325,train,3.5820,0.5046,0.0833,0.3056,6.13,1.163
350,train,3.4294,0.4927,0.0000,0.2273,10.65,1.159
375,train,1.9050,0.3601,0.3438,0.8750,3.73,1.154
400,train,4.7457,0.5141,0.0196,0.0588,13.24,1.150
400,val,3.5841,,0.0836,0.3168,12.21,
