step,split,ce,cert,top1,top5,cell_err_m,sec_per_step
25,train,4.4895,0.3259,0.0526,0.1053,8.37,1.113
50,train,4.3507,0.3902,0.0400,0.1600,9.16,1.105
75,train,2.4177,0.4237,0.1154,0.6346,5.15,1.105
100,train,1.8837,0.5003,0.3659,0.8049,2.86,1.106
100,val,3.4287,,0.1265,0.3514,11.29,
125,train,2.6109,0.3277,0.3171,0.6829,3.98,1.176
150,train,3.4226,0.4388,0.2558,0.3953,9.17,1.164
175,train,1.9752,0.5411,0.3191,0.8298,3.49,1.157
200,train,1.6216,0.6561,0.4776,0.9254,2.26,1.152
200,val,3.3438,,0.0971,0.4515,10.15,
