step,split,ce,cert,top1,top5,cell_err_m,n,sec
4401,train,4.1919,0.2120,0.0000,0.0000,22.20,161,4.6
4402,train,4.4086,0.2266,0.0556,0.1481,11.99,162,0.6
4403,train,3.9965,0.2369,0.0000,0.0432,18.42,162,2.5
4404,train,3.6784,0.2895,0.0000,0.0063,25.57,160,2.5
4405,train,nan,3.0284,nan,nan,nan,0,0.8
4406,train,nan,2.0801,nan,nan,nan,0,2.3
4407,train,3.9126,0.2691,0.0064,0.2115,9.96,156,1.8
4408,train,nan,1.9789,nan,nan,nan,0,3.3
4409,train,4.1267,0.2405,0.0000,0.0123,19.89,162,3.9
4410,train,3.0250,0.2608,0.2053,0.6225,5.08,151,2.5
4411,train,nan,2.2948,nan,nan,nan,0,0.6
4412,train,4.0809,0.2359,0.0064,0.0510,14.83,157,0.7
4413,train,4.3260,0.2670,0.0000,0.0000,19.42,157,4.5
4414,train,3.4316,0.1993,0.1429,0.4099,18.56,161,2.9
4415,train,4.9032,0.2404,0.0000,0.0000,15.90,155,1.8
4416,train,5.7750,0.3050,0.0066,0.1325,9.94,151,1.0
4417,train,4.5289,0.2848,0.0309,0.1296,25.71,162,1.7
4418,train,nan,1.9763,nan,nan,nan,0,3.3
4419,train,4.0631,0.2707,0.0000,0.0199,21.04,151,2.9
4420,train,4.0611,0.2171,0.0063,0.0818,16.49,159,1.8
4421,train,3.4921,0.3405,0.0440,0.3082,11.46,159,1.1
4422,train,5.4294,0.3943,0.0000,0.0000,47.88,154,0.6
4423,train,nan,1.6505,nan,nan,nan,0,1.4
4424,train,4.8024,0.3128,0.0260,0.1104,9.40,154,2.1
4425,train,5.4297,0.2462,0.0000,0.0000,28.38,152,0.6
4426,train,3.5691,0.3055,0.0876,0.3577,7.64,137,0.8
4427,train,3.3051,0.2263,0.1056,0.3416,15.37,161,1.5
4428,train,3.2150,0.2275,0.1500,0.4938,7.67,160,1.7
4429,train,4.0257,0.2549,0.0000,0.0063,36.50,159,3.9
4430,train,3.8960,0.2782,0.0000,0.0473,12.81,148,0.8
4431,train,4.4169,0.2493,0.0321,0.1090,11.67,156,1.1
4432,train,3.6898,0.2218,0.0063,0.0500,15.54,160,4.3
4433,train,3.8367,0.3527,0.0000,0.0132,23.95,151,1.2
4434,train,4.7080,0.2631,0.0000,0.0204,12.17,147,1.5
4435,train,3.6205,0.2813,0.0473,0.2905,7.88,148,4.5
4436,train,3.4128,0.3579,0.0537,0.2617,20.47,149,3.7
4437,train,3.4430,0.2325,0.0127,0.2357,11.63,157,1.9
4438,train,5.3133,0.2352,0.0000,0.0000,26.61,149,0.9
4439,train,4.8554,0.3465,0.0184,0.1227,20.61,163,0.5
4440,train,5.2282,0.2653,0.0000,0.0000,30.07,151,1.8
4441,train,5.0652,0.3102,0.0063,0.0566,20.73,159,1.4
4442,train,3.5660,0.2789,0.0309,0.1914,14.39,162,1.2
4443,train,5.2762,0.3590,0.0000,0.0000,16.83,158,1.6
4444,train,nan,1.4970,nan,nan,nan,0,1.6
4445,train,nan,1.8558,nan,nan,nan,0,0.8
4446,train,4.4537,0.3728,0.0338,0.1959,11.80,148,1.1
4447,train,4.6453,0.2591,0.0000,0.0000,25.02,162,3.4
4448,train,5.2247,0.2722,0.0066,0.0724,24.48,152,0.9
4449,train,nan,1.9730,nan,nan,nan,0,1.0
4450,train,3.7200,0.3079,0.0387,0.1290,16.89,155,1.5
4451,train,6.0264,0.4116,0.0000,0.0000,27.43,158,1.7
