step,split,ce,cert,top1,top5,cell_err_m,n,sec
1,train,5.5620,1.2651,0.0000,0.0000,70.08,160,2.0
2,train,5.0437,1.0204,0.0063,0.0312,21.79,160,0.8
3,train,5.1954,0.6242,0.0000,0.0000,92.40,160,0.8
4,train,5.1301,0.9297,0.0000,0.0127,34.33,157,0.6
5,train,5.1635,1.0438,0.0063,0.0253,31.57,158,0.8
6,train,5.1525,0.8469,0.0000,0.0000,104.01,160,0.6
7,train,5.2337,1.6220,0.0067,0.0133,31.05,150,0.7
8,train,4.9883,1.4163,0.0072,0.0362,19.66,138,0.7
9,train,5.1986,0.9590,0.0000,0.0000,45.34,163,0.7
10,train,4.9863,1.0403,0.0131,0.0327,22.73,153,0.6
11,train,5.0458,0.8802,0.0063,0.0125,33.77,160,0.7
12,train,5.0029,0.9926,0.0068,0.0135,39.65,148,0.6
13,train,5.1187,0.6654,0.0064,0.0192,27.96,156,0.6
14,train,4.9751,0.6436,0.0000,0.0309,26.29,162,0.6
15,train,5.0673,0.5950,0.0000,0.0123,44.35,163,0.6
16,train,5.1052,1.1491,0.0000,0.0000,42.30,151,0.7
17,train,4.9757,0.5944,0.0062,0.0185,26.59,162,0.6
18,train,5.1189,1.0289,0.0000,0.0068,52.77,148,0.7
19,train,5.0249,0.7137,0.0062,0.0435,28.06,161,0.8
20,train,5.1721,1.0508,0.0000,0.0000,43.44,158,0.8
21,train,5.0441,0.6874,0.0063,0.0189,26.26,159,0.6
22,train,5.0266,0.9582,0.0065,0.0195,22.03,154,0.8
23,train,5.1159,0.6105,0.0000,0.0370,29.99,162,0.8
24,train,5.0238,0.7963,0.0065,0.0196,29.63,153,0.8
25,train,5.1180,0.7883,0.0000,0.0201,32.09,149,0.8
26,train,5.1065,0.7618,0.0000,0.0132,29.91,152,0.8
27,train,5.0349,0.5789,0.0063,0.0250,24.32,160,0.6
28,train,4.9924,0.6802,0.0063,0.0188,27.47,160,0.8
29,train,4.9466,0.5296,0.0063,0.0312,24.18,160,0.8
30,train,5.0376,0.9498,0.0000,0.0073,33.52,137,0.8
31,train,5.0825,0.6905,0.0066,0.0132,25.04,151,0.8
32,train,5.0081,0.5361,0.0062,0.0311,24.03,161,0.7
33,train,5.0431,0.5810,0.0065,0.0129,30.44,155,0.8
34,train,4.9997,0.6911,0.0070,0.0282,26.31,142,0.6
35,train,5.0276,0.5549,0.0125,0.0375,33.34,160,0.8
36,train,5.0666,0.5991,0.0000,0.0133,69.92,150,0.6
37,train,4.9439,0.4876,0.0064,0.0127,19.02,157,0.7
38,train,5.1148,0.5979,0.0000,0.0000,43.47,150,0.6
39,train,4.9622,0.4691,0.0062,0.0123,23.93,162,0.6
40,train,5.0815,0.5400,0.0000,0.0000,46.63,155,0.8
41,train,5.0534,0.6427,0.0000,0.0190,25.72,158,0.8
42,train,5.0633,0.4832,0.0062,0.0186,24.64,161,0.7
43,train,5.0705,0.5290,0.0063,0.0063,24.78,160,0.7
44,train,4.9863,0.6301,0.0067,0.0134,21.43,149,0.7
45,train,4.9869,0.4506,0.0000,0.0307,23.14,163,0.8
46,train,4.9733,0.5355,0.0129,0.0387,20.07,155,0.7
47,train,5.0261,0.5682,0.0000,0.0000,38.61,158,0.8
48,train,4.9987,0.5722,0.0065,0.0196,26.55,153,0.6
49,train,5.0366,0.6931,0.0000,0.0072,32.33,139,0.7
50,train,5.0512,0.5311,0.0000,0.0000,102.00,154,0.6
51,train,5.0315,0.4353,0.0000,0.0183,56.16,164,0.8
52,train,4.9857,0.4829,0.0064,0.0191,29.43,157,0.6
53,train,5.0717,0.4403,0.0000,0.0122,24.78,164,0.6
54,train,5.0202,0.6667,0.0065,0.0327,25.62,153,0.8
55,train,4.9823,0.5699,0.0068,0.0473,26.91,148,0.6
56,train,4.9635,0.5757,0.0068,0.0338,28.88,148,0.8
57,train,4.9598,0.4376,0.0061,0.0491,22.57,163,0.8
58,train,4.9664,0.5060,0.0066,0.0263,24.79,152,0.8
59,train,4.9296,0.5421,0.0068,0.0405,21.18,148,0.8
60,train,4.9640,0.6365,0.0063,0.0314,24.28,159,0.8
61,train,4.9902,0.5501,0.0252,0.0440,22.60,159,0.8
62,train,4.9768,0.4659,0.0062,0.0311,21.92,161,0.6
63,train,5.0230,0.4590,0.0000,0.0382,36.69,157,0.6
64,train,4.9897,0.5037,0.0063,0.0316,26.76,158,0.8
65,train,5.1031,0.6732,0.0065,0.0261,28.33,153,0.6
66,train,5.1219,0.4797,0.0000,0.0125,35.09,160,0.8
67,train,4.9770,0.5697,0.0126,0.0377,20.06,159,0.8
68,train,4.9386,0.5539,0.0065,0.0258,22.34,155,0.8
69,train,5.0255,0.5263,0.0063,0.0380,23.57,158,0.6
70,train,4.9716,0.4795,0.0062,0.0248,20.81,161,0.7
71,train,5.0617,0.6956,0.0062,0.0186,31.67,161,0.8
72,train,5.0677,0.4699,0.0063,0.0250,25.06,160,0.6
73,train,4.9900,0.6608,0.0068,0.0408,21.13,147,0.6
74,train,5.0556,0.5628,0.0000,0.0000,47.44,162,0.8
75,train,4.9427,0.6946,0.0127,0.0191,23.76,157,0.8
76,train,4.9307,0.4768,0.0063,0.0126,26.86,159,0.8
77,train,4.8909,0.5270,0.0065,0.0519,21.66,154,0.6
78,train,4.9110,0.4818,0.0065,0.0387,20.58,155,0.6
79,train,4.9482,0.4578,0.0000,0.0373,33.35,161,0.6
80,train,4.9894,0.5404,0.0127,0.0443,25.85,158,0.8
81,train,5.0183,0.4800,0.0000,0.0063,32.01,158,0.6
82,train,4.9986,0.5486,0.0069,0.0417,23.77,144,0.8
83,train,5.0613,0.4810,0.0063,0.0189,30.65,159,0.6
84,train,4.9235,0.4824,0.0124,0.0435,22.20,161,0.8
85,train,4.9648,0.5252,0.0064,0.0382,19.88,157,0.6
86,train,5.0104,0.4847,0.0000,0.0064,39.80,157,0.8
87,train,4.9537,0.4665,0.0063,0.0125,32.24,160,0.8
88,train,4.9770,0.4971,0.0063,0.0314,23.75,159,0.8
89,train,4.9442,0.5324,0.0064,0.0191,21.33,157,0.8
90,train,5.0983,0.4982,0.0063,0.0253,29.93,158,0.6
91,train,4.8690,0.4788,0.0125,0.0563,23.52,160,0.8
92,train,5.0227,0.5493,0.0000,0.0000,37.47,146,0.6
93,train,4.9497,0.4591,0.0063,0.0189,30.18,159,0.6
94,train,4.9211,0.4366,0.0062,0.0309,25.33,162,0.7
95,train,4.9080,0.4448,0.0061,0.0368,20.52,163,0.7
96,train,4.9201,0.5050,0.0062,0.0311,28.89,161,0.7
97,train,5.1601,0.4534,0.0061,0.0121,29.15,165,0.7
98,train,4.9294,0.5441,0.0068,0.0408,20.40,147,0.6
99,train,4.9137,0.4449,0.0063,0.0312,24.05,160,0.7
100,train,4.8668,0.4726,0.0129,0.0516,22.64,155,0.8
101,train,4.9609,0.5798,0.0063,0.0312,24.26,160,0.7
102,train,4.8825,0.5190,0.0067,0.0333,20.09,150,0.8
103,train,5.0778,0.4551,0.0000,0.0185,32.27,162,0.8
104,train,5.1170,0.5240,0.0000,0.0201,27.01,149,0.8
105,train,4.9423,0.4447,0.0061,0.0244,22.26,164,0.6
106,train,4.9225,0.5606,0.0067,0.0400,19.56,150,0.7
107,train,5.0158,0.4409,0.0000,0.0435,31.38,161,0.8
108,train,4.9681,0.5642,0.0137,0.0411,25.93,146,0.8
