step,split,ce,cert,top1,top5,cell_err_m,pose_nll,pose_err_m,n,sec
4601,train,4.3948,0.7621,0.0000,0.0103,44.17,4.6995,42.00,194,7.4
4602,train,5.8552,0.6828,0.0000,0.0309,22.02,5.5186,24.74,194,1.5
4603,train,4.0295,0.3024,0.0412,0.1907,16.54,4.7430,13.42,194,5.3
4604,train,3.6705,0.2352,0.0464,0.2010,18.86,4.2136,18.97,194,3.0
4605,train,4.4128,0.3020,0.0258,0.0979,11.07,4.3449,12.65,194,2.2
4606,train,nan,1.8705,nan,nan,nan,0.0000,nan,0,3.4
4607,train,4.5026,0.7671,0.0052,0.0365,17.25,4.4659,16.00,192,2.4
4608,train,4.7216,0.5887,0.0000,0.0156,35.61,4.6889,21.63,192,5.1
4609,train,4.3320,0.9497,0.0206,0.1237,16.28,4.5299,24.33,194,1.6
4610,train,3.9114,1.1812,0.0000,0.0674,18.37,4.4793,45.69,193,3.9
4611,train,nan,1.0688,nan,nan,nan,0.0000,nan,0,3.3
4612,train,3.3439,1.0047,0.0777,0.2746,20.43,3.6583,10.00,193,4.4
4613,train,3.9381,1.1227,0.0311,0.1295,17.59,3.8818,5.66,193,1.3
4614,train,3.7230,1.5070,0.0052,0.0725,30.93,4.1769,30.41,193,4.2
4615,train,3.4563,0.6805,0.0570,0.3264,12.57,3.7261,5.00,193,2.7
4616,train,3.4242,1.1285,0.0567,0.3144,16.80,3.2729,18.00,194,3.9
4617,train,nan,0.4549,nan,nan,nan,0.0000,nan,0,1.8
4618,train,3.9220,2.3666,0.0515,0.2938,9.97,4.1510,15.00,194,2.3
4619,train,4.8192,1.9145,0.0000,0.0000,46.84,4.0493,45.28,194,5.1
4620,train,5.3374,2.2412,0.0155,0.0725,12.30,3.8624,15.00,193,2.3
4621,train,3.7883,3.3965,0.0206,0.1598,17.15,4.1795,11.18,194,4.0
4622,train,5.1194,2.7957,0.0000,0.0825,12.09,3.4057,4.24,194,1.9
4623,train,3.5970,3.1317,0.0052,0.0722,34.70,3.6416,18.97,194,6.4
4624,train,4.1877,3.0779,0.0000,0.1031,16.92,4.2356,8.49,194,5.3
4625,train,4.7815,3.0802,0.0052,0.0417,14.93,3.5263,6.00,192,2.0
4626,train,6.8411,2.9588,0.0000,0.0000,30.62,4.7080,45.28,194,2.7
4627,train,5.7724,3.4071,0.0155,0.0567,18.38,4.0438,6.71,194,1.3
4628,train,3.5425,3.1778,0.0415,0.2332,14.92,3.2434,8.49,193,3.5
4629,train,nan,0.0464,nan,nan,nan,0.0000,nan,0,1.7
4630,train,3.9893,3.7144,0.0000,0.0052,39.14,4.0813,24.00,193,3.1
4631,train,4.3662,4.6234,0.0000,0.0000,32.85,4.5312,32.00,193,2.8
4632,train,3.2151,3.9500,0.1192,0.4249,10.07,2.9488,5.00,193,2.2
4633,train,4.2627,4.4235,0.0155,0.1192,13.85,3.4480,4.00,193,3.0
4634,train,4.1263,3.6720,0.0000,0.0000,49.63,3.8887,48.37,194,4.9
4635,train,5.1861,3.8847,0.0103,0.0515,17.47,5.6858,16.16,194,1.6
4636,train,4.9428,4.6709,0.0104,0.0570,13.71,3.7435,4.24,193,1.4
4637,train,3.4902,4.1974,0.1186,0.5000,9.56,3.0995,0.00,194,3.6
4638,train,nan,0.0526,nan,nan,nan,0.0000,nan,0,1.1
4639,train,5.7543,5.0732,0.0000,0.0000,40.50,5.5389,42.72,193,3.5
4640,train,4.2277,4.0513,0.0674,0.1710,14.00,4.1572,30.00,193,2.9
4641,train,4.6073,4.7944,0.0000,0.0206,14.58,4.5754,12.00,194,2.6
4642,train,nan,0.0770,nan,nan,nan,0.0000,nan,0,3.5
4643,train,4.9901,5.1083,0.0103,0.0515,20.05,4.3821,12.37,194,1.2
4644,train,4.8274,4.2420,0.0104,0.0677,12.38,2.8723,3.00,192,2.3
4645,train,3.5049,4.3318,0.0677,0.3698,11.91,2.8069,0.00,192,6.6
4646,train,nan,0.0212,nan,nan,nan,0.0000,nan,0,5.2
4647,train,5.5070,4.2829,0.0000,0.0103,19.11,3.8505,9.49,194,2.2
4648,train,4.6692,4.1567,0.0052,0.0570,14.21,3.9027,4.24,193,1.2
4649,train,4.1394,4.3008,0.0515,0.1856,13.78,4.4963,24.33,194,2.0
4650,train,4.1348,4.0467,0.0104,0.1088,17.15,3.8739,24.00,193,1.9
4651,train,5.2759,4.8932,0.0000,0.0000,30.09,4.9275,28.46,194,1.8
4652,train,4.0001,3.6513,0.0052,0.0518,14.93,4.6632,12.65,193,2.8
4653,train,nan,0.0390,nan,nan,nan,0.0000,nan,0,1.5
4654,train,nan,0.0902,nan,nan,nan,0.0000,nan,0,3.2
4655,train,4.4077,4.5822,0.0104,0.0990,11.27,4.0732,12.37,192,1.7
4656,train,5.5339,4.2733,0.0000,0.0052,27.51,4.6817,13.42,194,1.6
4657,train,4.9492,3.7810,0.0207,0.0622,17.91,5.8060,22.36,193,4.8
4658,train,3.8993,3.9479,0.0155,0.2216,16.64,3.4523,5.00,194,5.3
4659,train,nan,0.1040,nan,nan,nan,0.0000,nan,0,5.7
4660,train,nan,0.0757,nan,nan,nan,0.0000,nan,0,2.8
4661,train,3.5015,4.0728,0.1244,0.4974,8.68,3.6051,16.00,193,2.7
4662,train,3.6131,3.7464,0.0363,0.2850,14.33,3.7017,8.49,193,5.0
4663,train,nan,0.1328,nan,nan,nan,0.0000,nan,0,5.0
4664,train,4.5240,3.5165,0.0000,0.0311,19.60,3.6863,18.00,193,2.2
4665,train,4.6347,3.5332,0.0258,0.1134,10.81,3.8422,15.30,194,1.6
4666,train,4.4973,2.5795,0.0000,0.0155,11.37,3.8701,20.40,194,2.1
4667,train,4.0500,3.2177,0.0103,0.0773,18.22,4.7269,22.36,194,4.2
4668,train,3.9989,3.4593,0.0619,0.1959,20.83,3.6029,5.00,194,1.9
