step,split,ce,cert,top1,top5,cell_err_m,n,sec
2001,train,3.8240,0.3372,0.0125,0.1375,13.69,160,3.3
2002,train,3.6628,0.3748,0.1313,0.4563,13.51,160,2.0
2003,train,3.9159,0.3589,0.0000,0.0437,29.56,160,1.5
2004,train,5.2814,0.3359,0.0000,0.0000,37.89,157,1.3
2005,train,4.1347,0.3231,0.0000,0.0190,27.80,158,2.1
2006,train,3.9967,0.3074,0.0125,0.0813,14.56,160,1.3
2007,train,3.5799,0.4252,0.1000,0.4467,7.60,150,0.8
2008,train,4.4838,0.3968,0.0000,0.0000,28.06,138,0.7
2009,train,3.5055,0.3391,0.1104,0.5031,7.45,163,1.9
2010,train,3.3137,0.3235,0.0065,0.3203,10.94,153,1.3
2011,train,3.0593,0.3656,0.0938,0.3938,13.68,160,1.4
2012,train,3.7788,0.4692,0.0338,0.2095,10.97,148,0.7
2013,train,3.9737,0.3536,0.0000,0.0833,17.12,156,1.9
2014,train,3.5234,0.2872,0.0432,0.2963,9.84,162,1.8
2015,train,3.6375,0.3343,0.0982,0.4294,12.46,163,1.8
2016,train,3.4115,0.3284,0.0397,0.3179,10.16,151,1.6
2017,train,4.1270,0.2914,0.0000,0.0000,24.78,162,1.4
2018,train,3.3831,0.3689,0.0000,0.0000,45.42,148,1.4
2019,train,6.9262,0.3348,0.0000,0.0000,16.92,161,2.0
2020,train,4.4073,0.2955,0.0063,0.0380,15.53,158,1.5
2021,train,3.5813,0.3234,0.0252,0.3333,11.53,159,1.9
2022,train,8.0354,0.3359,0.0000,0.0000,24.67,154,2.0
2023,train,3.7614,0.3160,0.0062,0.0309,17.43,162,2.1
2024,train,5.2072,0.3766,0.0000,0.0000,15.03,153,1.9
2025,train,3.3729,0.3577,0.1477,0.4832,10.00,149,0.8
2026,train,5.2868,0.2908,0.0000,0.0197,12.76,152,2.0
2027,train,3.3878,0.3543,0.0875,0.4250,8.51,160,1.5
2028,train,3.4154,0.3278,0.1063,0.3250,13.83,160,1.5
2029,train,4.0766,0.3220,0.0063,0.0312,15.08,160,1.8
2030,train,3.9894,0.4748,0.0365,0.0876,12.42,137,1.7
2031,train,3.7742,0.3266,0.0199,0.1126,18.87,151,1.4
2032,train,3.4913,0.3257,0.0497,0.2919,12.80,161,1.7
2033,train,4.8209,0.4267,0.0065,0.0452,15.34,155,2.0
2034,train,3.9003,0.3898,0.0000,0.0211,23.55,142,1.4
2035,train,4.0677,0.3501,0.0000,0.0000,25.51,160,2.0
2036,train,3.6053,0.3554,0.0267,0.1667,18.81,150,0.6
2037,train,3.5068,0.3396,0.0573,0.2293,15.35,157,0.8
2038,train,3.6137,0.3345,0.0267,0.1067,12.47,150,1.4
2039,train,3.9220,0.2683,0.0000,0.0741,13.69,162,0.7
2040,train,4.0940,0.3101,0.0065,0.1677,16.19,155,1.6
2041,train,4.1011,0.3120,0.0127,0.0759,13.75,158,0.8
2042,train,3.5025,0.5640,0.1429,0.3292,13.63,161,1.5
2043,train,3.7544,0.3331,0.1375,0.3250,10.55,160,1.5
2044,train,5.2757,0.3358,0.0000,0.0000,30.51,149,1.6
2045,train,3.2938,0.2851,0.0798,0.3497,8.88,163,2.2
2046,train,3.6503,0.3526,0.0065,0.0516,26.40,155,0.8
2047,train,3.5283,0.3373,0.0823,0.3101,9.98,158,2.1
2048,train,4.7175,0.3231,0.0000,0.0000,24.18,153,1.5
2049,train,4.5199,0.4157,0.0000,0.0000,28.55,139,1.5
2050,train,4.3371,0.4253,0.0065,0.0260,28.33,154,1.3
2051,train,3.5428,0.2732,0.0549,0.2134,20.04,164,0.8
2052,train,4.2774,0.3274,0.0064,0.0637,16.20,157,2.0
2053,train,3.7731,0.3037,0.0671,0.2744,20.44,164,1.7
2054,train,3.4783,0.4213,0.0000,0.1634,14.50,153,0.8
2055,train,4.2452,0.3727,0.0000,0.0946,12.81,148,1.3
2056,train,3.6987,0.3306,0.0135,0.0811,16.72,148,2.0
2057,train,5.1289,0.2815,0.0000,0.0000,14.12,163,2.1
2058,train,3.8366,0.3330,0.0461,0.3421,8.78,152,0.8
2059,train,3.2313,0.3497,0.0338,0.4459,9.99,148,2.1
2060,train,3.8633,0.2957,0.0063,0.0566,15.55,159,0.8
2061,train,3.8197,0.3074,0.0126,0.1132,10.42,159,0.8
2062,train,3.5195,0.3063,0.0807,0.3727,8.92,161,0.6
2063,train,3.4085,0.3160,0.0382,0.2293,13.94,157,0.6
2064,train,3.8290,0.3015,0.0823,0.2468,8.04,158,2.0
2065,train,3.9130,0.3248,0.0261,0.0850,15.05,153,0.7
2066,train,4.2930,0.2860,0.0000,0.0125,11.90,160,2.1
2067,train,3.1029,0.2704,0.0881,0.4214,8.60,159,0.8
2068,train,4.0253,0.3212,0.0387,0.0968,13.25,155,2.0
2069,train,4.0824,0.3874,0.0000,0.0127,30.97,158,2.0
2070,train,3.3798,0.3274,0.0870,0.3727,8.77,161,1.8
2071,train,5.3831,0.2922,0.0000,0.0000,22.43,161,1.5
2072,train,3.2701,0.2895,0.0688,0.5312,9.30,160,2.0
2073,train,4.4612,0.4288,0.0000,0.0000,14.59,147,1.6
2074,train,4.0172,0.2912,0.0556,0.2840,11.59,162,2.2
2075,train,4.0977,0.3471,0.0127,0.1529,19.43,157,0.8
2076,train,4.1653,0.3046,0.0000,0.0063,21.71,159,1.6
2077,train,3.8048,0.3344,0.0065,0.1039,12.68,154,1.8
