step,ce,cert,top1,top5,cell_err_m,n,sec
1,5.1668,0.7114,0.0000,0.0000,63.54,157,2.2
2,5.1246,1.1349,0.0000,0.0000,109.59,162,0.9
3,5.0676,1.6130,0.0063,0.0253,29.22,158,0.8
4,5.1469,1.3541,0.0065,0.0195,25.70,154,0.8
5,5.2509,1.5876,0.0000,0.0000,49.55,154,0.8
6,5.0400,1.0778,0.0000,0.0000,73.38,158,0.8
7,5.0958,0.8727,0.0000,0.0000,68.67,162,0.8
8,4.9755,0.8950,0.0000,0.0000,128.32,157,0.8
9,5.2088,1.1333,0.0000,0.0000,78.80,157,0.8
10,5.0483,0.8640,0.0000,0.0000,102.50,154,0.8
11,5.0447,0.8031,0.0063,0.0253,24.46,158,0.8
12,5.0381,0.8046,0.0062,0.0309,21.02,162,0.8
13,4.9913,0.9391,0.0000,0.0195,77.85,154,0.8
14,4.9834,0.9578,0.0064,0.0255,25.76,157,0.8
15,5.0159,0.5807,0.0062,0.0309,20.33,162,0.8
16,5.0722,0.7911,0.0063,0.0253,19.79,158,0.8
17,5.0155,0.6579,0.0000,0.0255,25.26,157,0.8
18,5.0970,0.5048,0.0000,0.0062,38.05,162,0.8
19,5.0944,0.8362,0.0063,0.0253,29.53,158,0.8
20,5.0947,0.8028,0.0000,0.0195,39.52,154,0.8
21,5.1346,0.6689,0.0000,0.0063,39.11,158,0.8
22,4.9851,0.6310,0.0000,0.0195,89.36,154,0.8
23,5.0756,0.6529,0.0000,0.0255,29.62,157,0.8
24,4.9865,0.5336,0.0000,0.0185,19.85,162,0.8
25,5.0401,0.6200,0.0127,0.0380,25.74,158,0.8
26,5.1073,0.6195,0.0000,0.0065,29.84,154,0.8
27,4.9667,0.4789,0.0062,0.0309,24.04,162,0.8
28,4.9805,0.5712,0.0064,0.0318,19.55,157,0.8
29,4.9671,0.6324,0.0065,0.0325,21.57,154,0.8
30,5.0201,0.5415,0.0062,0.0247,31.03,162,0.8
31,5.0491,0.6241,0.0064,0.0318,23.51,157,0.8
32,5.0373,0.6892,0.0000,0.0253,36.01,158,0.8
33,5.0411,0.4673,0.0000,0.0123,30.48,162,0.8
34,5.0083,0.5726,0.0064,0.0318,19.82,157,0.8
35,5.0365,0.6553,0.0065,0.0390,21.74,154,0.8
36,5.0252,0.6182,0.0000,0.0127,35.60,158,0.8
37,4.9596,0.5166,0.0062,0.0185,23.03,162,0.8
38,5.0931,0.6120,0.0064,0.0255,26.25,157,0.8
39,4.9956,0.5842,0.0000,0.0000,34.11,158,0.8
40,5.0451,0.5875,0.0065,0.0260,25.74,154,0.8
