step,ce,cert,top1,top5,cell_err_m,n,sec
1,5.1668,0.7114,0.0000,0.0000,63.54,157,1.8
2,5.1247,1.1347,0.0000,0.0000,109.59,162,0.6
3,5.0676,1.6131,0.0063,0.0253,29.22,158,0.6
4,5.1467,1.3542,0.0065,0.0195,25.70,154,0.6
5,5.2510,1.5875,0.0000,0.0000,49.55,154,0.6
6,5.0401,1.0775,0.0000,0.0000,73.19,158,0.6
7,5.0960,0.8725,0.0000,0.0000,68.67,162,0.7
8,4.9756,0.8951,0.0000,0.0000,128.32,157,0.6
9,5.2089,1.1341,0.0000,0.0000,78.80,157,0.7
10,5.0484,0.8637,0.0000,0.0000,102.50,154,0.6
11,5.0447,0.8028,0.0063,0.0253,24.46,158,0.6
12,5.0380,0.8046,0.0062,0.0309,21.04,162,0.7
13,4.9912,0.9389,0.0000,0.0195,77.90,154,0.6
14,4.9837,0.9586,0.0064,0.0255,25.76,157,0.6
15,5.0155,0.5807,0.0062,0.0309,20.33,162,0.6
16,5.0723,0.7907,0.0063,0.0253,19.79,158,0.6
17,5.0155,0.6577,0.0000,0.0255,25.30,157,0.7
18,5.0973,0.5049,0.0000,0.0062,38.27,162,0.7
19,5.0942,0.8362,0.0063,0.0253,29.53,158,0.6
20,5.0948,0.8032,0.0000,0.0195,39.52,154,0.6
21,5.1344,0.6691,0.0000,0.0063,39.22,158,0.6
22,4.9852,0.6314,0.0000,0.0195,89.36,154,0.7
23,5.0754,0.6527,0.0000,0.0255,29.69,157,0.6
24,4.9865,0.5337,0.0000,0.0185,19.84,162,0.6
25,5.0403,0.6204,0.0127,0.0380,25.74,158,0.6
26,5.1075,0.6192,0.0000,0.0065,29.84,154,0.7
27,4.9666,0.4790,0.0062,0.0309,24.19,162,0.7
28,4.9803,0.5715,0.0064,0.0382,19.55,157,0.6
29,4.9672,0.6327,0.0065,0.0325,21.57,154,0.6
30,5.0203,0.5416,0.0062,0.0247,31.03,162,0.7
31,5.0493,0.6244,0.0064,0.0318,23.51,157,0.6
32,5.0372,0.6898,0.0000,0.0253,36.02,158,0.6
33,5.0413,0.4673,0.0000,0.0123,30.48,162,0.7
34,5.0083,0.5723,0.0064,0.0318,19.82,157,0.7
35,5.0365,0.6556,0.0065,0.0390,21.74,154,0.6
36,5.0254,0.6182,0.0000,0.0127,35.60,158,0.6
37,4.9595,0.5168,0.0062,0.0185,23.03,162,0.6
38,5.0932,0.6124,0.0064,0.0255,26.19,157,0.6
39,4.9955,0.5847,0.0000,0.0000,34.11,158,0.6
40,5.0451,0.5877,0.0065,0.0260,25.91,154,0.6
41,4.9743,0.5854,0.0000,0.0316,33.08,158,0.6
42,5.0698,0.4629,0.0062,0.0309,26.42,162,0.7
43,5.0414,0.5038,0.0000,0.0255,28.76,157,0.7
44,4.9961,0.5728,0.0000,0.0325,20.06,154,0.6
45,5.0072,0.5433,0.0063,0.0316,20.75,158,0.6
46,4.9600,0.5075,0.0064,0.0191,29.11,157,0.7
47,5.0654,0.5874,0.0000,0.0065,34.93,154,0.6
48,5.0514,0.4669,0.0000,0.0000,51.73,162,0.6
49,5.0232,0.5110,0.0063,0.0316,32.45,158,0.6
50,5.0156,0.5086,0.0064,0.0255,31.12,157,0.6
51,5.0188,0.5265,0.0065,0.0325,25.89,154,0.6
52,4.9382,0.4724,0.0062,0.0309,21.98,162,0.6
