step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
1,train,4.5162,0.0312,14.38,4.4873,16.65,704,3.0
2,train,4.0431,0.1513,9.74,4.0712,15.04,714,3.6
3,train,4.3393,0.0447,11.90,4.6340,10.82,716,4.1
4,train,4.3037,0.0646,16.18,3.8568,6.24,728,4.6
5,train,4.4681,0.0743,12.01,3.9624,20.64,673,5.1
6,train,3.3649,0.1341,9.06,3.2895,11.41,686,5.7
7,train,3.4131,0.1270,6.40,2.6521,5.41,701,6.2
8,train,4.0447,0.0312,8.87,3.7759,8.67,674,6.7
9,train,3.5634,0.1457,7.85,2.6901,5.00,714,7.2
10,train,3.4138,0.2818,6.55,2.8743,6.12,660,7.9
11,train,4.8946,0.0570,13.80,4.9635,10.00,702,8.4
12,train,4.1467,0.1438,13.39,3.9504,15.12,730,8.9
13,train,3.2324,0.1653,7.88,3.0450,10.12,756,9.5
14,train,4.9420,0.0448,17.05,4.4422,19.47,714,10.0
15,train,3.8185,0.0840,12.74,3.7595,11.08,702,10.5
16,train,3.6333,0.0940,15.54,3.4150,13.05,702,11.1
17,train,3.9474,0.0494,9.82,3.6101,5.83,688,11.6
18,train,3.9468,0.1250,8.80,2.7344,5.65,728,12.1
19,train,4.5728,0.0292,12.84,4.1549,13.34,686,12.6
20,train,3.6696,0.1611,13.24,4.1226,14.07,714,13.1
21,train,4.0775,0.0590,12.37,3.9747,10.83,729,13.7
22,train,3.7704,0.0728,8.89,2.7649,5.65,714,14.2
23,train,4.8848,0.0291,16.31,5.1264,15.98,756,14.7
24,train,2.7941,0.2199,6.55,2.1156,3.41,714,15.2
25,train,2.9239,0.2268,6.93,2.7917,7.80,732,15.8
26,train,3.6882,0.0865,7.39,4.1780,7.95,728,16.3
27,train,4.1736,0.1078,11.72,4.0109,10.71,705,16.8
28,train,3.2526,0.2024,10.25,3.1628,9.00,756,17.3
29,train,3.6281,0.0711,8.69,3.1253,7.16,703,17.9
30,train,3.9873,0.1086,10.54,3.7161,10.32,700,18.4
31,train,3.6086,0.0453,7.72,2.8189,4.24,728,18.9
32,train,4.8932,0.0085,14.91,5.2822,16.42,704,19.5
33,train,4.4153,0.1456,11.78,3.8290,7.24,728,20.0
34,train,3.3442,0.1164,8.19,2.8999,3.65,687,20.5
35,train,5.0140,0.0027,13.70,4.7973,14.99,742,21.0
36,train,3.2499,0.1441,8.25,3.0202,9.94,715,21.6
37,train,2.9478,0.2095,5.75,2.1362,2.00,716,22.1
38,train,4.0151,0.0524,10.91,3.9572,9.93,744,22.6
39,train,3.7593,0.0499,11.43,3.5382,6.65,702,23.1
40,train,4.1292,0.0841,16.02,4.0659,16.83,690,23.6
41,train,3.6043,0.3157,8.99,3.9541,8.71,700,24.2
42,train,3.7737,0.1099,8.18,3.5732,7.12,728,24.7
43,train,4.9133,0.0117,20.40,5.0063,23.17,686,25.2
44,train,4.4229,0.0608,12.60,4.1781,15.85,756,25.8
45,train,3.2614,0.1045,7.56,2.6493,7.51,756,26.3
46,train,3.5805,0.0554,9.31,3.0874,10.96,704,26.8
47,train,3.0522,0.1544,6.76,1.9889,1.00,732,27.3
