step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
1,train,5.6972,0.0013,15.22,5.1056,16.97,784,6.2
2,train,2.9902,0.1977,2.89,2.3393,1.71,784,6.8
3,train,4.2879,0.0536,5.14,3.2663,3.94,784,7.3
4,train,3.6435,0.0651,6.77,3.9042,9.35,784,7.8
5,train,4.7128,0.0599,11.39,4.3323,9.71,784,8.4
6,train,5.2506,0.0077,12.12,5.5307,12.32,784,8.9
7,train,3.5528,0.1416,4.77,3.2815,2.83,784,9.5
8,train,3.9487,0.0791,8.96,4.2265,12.46,784,10.0
9,train,3.9206,0.0638,5.09,3.6287,2.62,784,10.5
10,train,4.0102,0.0804,6.91,3.4878,4.51,784,11.1
11,train,3.1789,0.3112,5.54,3.1595,6.53,784,11.6
12,train,4.7670,0.1148,13.21,4.3512,12.27,784,12.2
13,train,6.5805,0.0128,13.50,6.4073,13.84,784,12.7
14,train,4.4569,0.1390,8.72,4.5828,9.55,784,13.3
15,train,3.9523,0.1033,7.52,3.4127,5.04,784,13.8
16,train,3.9953,0.2628,8.61,3.8512,9.94,784,14.4
17,train,6.1480,0.0204,13.23,5.7094,13.10,784,15.0
18,train,3.9611,0.1480,5.84,3.7961,3.50,784,15.6
19,train,4.5465,0.0995,5.80,4.3202,4.21,784,16.1
20,train,4.5093,0.0995,5.85,2.9874,2.79,784,16.7
21,train,4.1043,0.0281,8.37,3.2498,8.73,784,17.4
22,train,3.6167,0.1467,3.32,4.0282,3.85,784,18.0
23,train,3.3177,0.1645,5.55,2.8624,2.41,784,18.5
24,train,5.1874,0.0319,11.87,4.7576,13.71,784,19.1
25,train,3.9548,0.1569,7.46,3.8224,7.70,784,19.6
26,train,4.9812,0.1467,9.66,5.0268,9.62,784,20.1
27,train,4.9799,0.0332,8.70,4.8761,10.04,784,20.6
28,train,5.3170,0.0077,11.43,5.2147,12.52,784,21.2
29,train,4.4493,0.0918,8.55,4.1334,7.30,784,21.7
30,train,4.1478,0.1901,6.99,3.7148,6.41,784,22.3
31,train,3.8015,0.0651,8.17,4.3445,9.33,784,22.8
32,train,5.3888,0.0230,13.54,5.3568,15.82,784,23.3
33,train,3.1436,0.1327,5.05,3.3800,5.20,784,23.9
34,train,3.7978,0.1135,7.21,3.4150,8.33,784,24.4
35,train,4.9586,0.0204,11.42,4.2639,10.26,784,24.9
36,train,4.5089,0.1059,9.57,3.9082,11.35,784,25.4
37,train,3.8646,0.1135,9.05,3.3633,7.02,784,26.0
38,train,3.9009,0.1186,7.71,4.0442,9.51,784,26.5
39,train,2.8836,0.2079,4.43,2.4441,2.21,784,27.0
40,train,4.1420,0.1837,12.94,3.6540,13.14,784,27.6
41,train,3.3122,0.1658,4.01,3.1304,3.87,784,28.1
42,train,4.8724,0.0778,10.23,4.8831,10.79,784,28.7
43,train,4.6763,0.0332,7.52,4.1123,4.39,784,29.2
44,train,4.5660,0.0306,11.16,3.4211,6.21,784,29.8
45,train,5.1001,0.0536,11.56,4.9860,13.10,784,30.3
46,train,4.1435,0.0791,6.66,3.9442,5.52,784,30.9
47,train,5.3674,0.0191,11.26,4.4611,11.69,784,31.4
48,train,5.2602,0.0179,15.66,5.3112,18.80,784,31.9
