step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
1,train,6.3461,0.0185,28.22,6.4350,23.60,704,2.1
2,train,5.8151,0.0154,21.47,5.8119,22.04,714,2.7
3,train,6.0204,0.0140,22.09,5.9772,17.02,716,3.2
4,train,5.8522,0.0261,22.58,6.1708,23.40,728,3.8
5,train,5.9893,0.0401,23.35,6.4147,20.05,673,4.3
6,train,5.4086,0.0219,20.26,5.8525,16.90,686,4.8
7,train,5.0300,0.0399,11.47,5.0218,14.54,701,5.5
8,train,4.9762,0.0252,13.79,4.8937,10.13,674,6.0
9,train,5.6621,0.0140,22.24,5.0486,20.47,714,6.5
10,train,4.1277,0.0652,12.23,5.2713,11.63,660,7.0
11,train,5.6888,0.0242,20.24,5.4349,14.59,702,7.6
12,train,5.1641,0.0384,21.53,5.3522,23.25,730,8.1
13,train,3.9435,0.0873,10.60,4.8357,7.99,756,8.6
14,train,6.0177,0.0140,21.36,5.9100,18.12,714,9.2
15,train,5.0319,0.0214,19.13,4.9782,13.65,702,9.7
16,train,4.3644,0.1026,19.82,5.4505,25.28,702,10.2
17,train,5.1006,0.0349,16.28,5.0534,10.97,688,10.8
18,train,4.9127,0.0206,16.37,4.7838,11.07,728,11.3
19,train,5.0349,0.0350,15.90,5.3086,15.96,686,11.9
20,train,4.4900,0.0686,15.72,5.2729,14.29,714,12.4
21,train,5.0863,0.0302,18.05,5.3568,16.97,729,12.9
22,train,4.5514,0.0378,11.20,4.9052,10.42,714,13.5
23,train,5.9404,0.0053,24.10,5.9467,18.03,756,14.0
24,train,3.9071,0.1036,16.70,4.9482,10.63,714,14.5
25,train,4.1371,0.0683,11.44,4.9089,10.34,732,15.1
26,train,4.6203,0.0398,13.35,5.3030,15.47,728,15.6
27,train,4.9731,0.0241,15.79,5.1707,16.94,705,16.2
28,train,4.4769,0.0582,14.41,5.0656,14.31,756,16.7
29,train,4.3537,0.0327,13.86,4.9627,13.55,703,17.2
30,train,4.7702,0.0414,12.39,5.0488,15.57,700,17.8
31,train,4.3837,0.0440,12.62,4.9804,12.24,728,18.3
32,train,5.0245,0.0114,15.65,5.5918,19.61,704,18.8
33,train,4.6555,0.0604,13.13,4.9101,12.11,728,19.4
34,train,4.4117,0.0291,19.14,4.5634,20.74,687,19.9
35,train,5.1689,0.0431,19.70,4.7456,14.90,742,20.4
36,train,3.9280,0.1035,11.46,4.8039,10.89,715,20.9
37,train,3.7667,0.1117,8.98,4.9657,16.24,716,21.5
38,train,4.1709,0.1089,12.81,4.7300,12.31,744,22.0
39,train,4.7752,0.0370,17.80,5.4444,17.97,702,22.5
40,train,4.4915,0.0609,16.05,5.2880,20.47,690,23.0
41,train,4.3609,0.0929,10.91,5.0909,12.28,700,23.6
42,train,4.2486,0.0440,10.32,4.8349,10.01,728,24.1
43,train,5.2114,0.0131,20.44,5.6776,23.46,686,24.6
44,train,4.9470,0.0384,19.84,5.0438,19.49,756,25.2
45,train,4.2260,0.0437,12.13,4.0342,3.41,756,25.7
46,train,4.2638,0.0270,11.82,5.0529,15.51,704,26.2
47,train,3.7548,0.1052,9.94,4.5356,13.42,732,26.7
48,train,4.6862,0.0952,10.18,4.3927,10.49,704,27.3
49,train,4.3048,0.0569,11.48,4.5240,4.41,756,27.8
50,train,4.4829,0.0728,15.17,4.8398,11.47,756,28.3
51,train,4.6426,0.0699,14.74,5.1552,15.24,701,28.9
52,train,4.8963,0.0420,14.01,4.8450,15.25,714,29.4
53,train,2.9491,0.1192,5.42,4.0419,5.06,688,29.9
54,train,3.8871,0.0494,9.93,4.2289,8.24,770,30.5
55,train,3.9390,0.0386,10.36,4.4326,13.69,700,31.0
56,train,3.5376,0.1384,8.05,4.4721,8.61,701,31.6
57,train,4.5727,0.0247,15.74,4.6872,16.57,728,32.1
58,train,3.6296,0.0964,8.21,4.3181,9.82,716,32.6
59,train,4.4538,0.0316,11.46,4.7845,17.07,664,33.1
60,train,3.7752,0.0440,12.05,4.5057,10.81,728,33.7
61,train,3.2773,0.1541,7.29,4.4767,10.31,714,34.2
62,train,3.6666,0.1164,8.28,4.3165,9.78,730,34.8
63,train,4.2727,0.0994,13.04,4.5475,14.57,714,35.3
64,train,3.4336,0.1703,7.35,4.3460,10.50,728,35.9
65,train,4.2075,0.0503,13.21,4.4766,8.36,756,36.4
66,train,4.4031,0.0279,11.56,4.8663,14.07,718,36.9
67,train,3.7846,0.0783,8.33,4.8509,10.26,702,37.5
68,train,4.3832,0.0209,12.98,4.7090,12.61,716,38.0
69,train,3.1312,0.0671,6.72,4.3840,7.47,715,38.5
70,train,3.9702,0.0400,9.98,4.8202,11.42,675,39.1
71,train,4.9423,0.0222,18.55,5.0370,18.64,676,39.6
72,train,2.7972,0.2156,4.69,4.1494,7.74,770,40.1
73,train,3.8591,0.0923,12.05,4.6415,13.55,715,40.7
74,train,3.5849,0.0448,9.38,4.2272,7.30,715,41.2
75,train,3.6931,0.0687,8.51,4.0563,6.06,728,41.7
76,train,3.4307,0.0962,9.44,4.5287,12.49,676,42.3
77,train,3.9579,0.0665,11.69,4.9907,14.40,677,42.8
78,train,4.0728,0.0653,14.85,4.6675,18.32,704,43.3
79,train,4.2398,0.1198,13.93,5.1624,17.55,676,43.9
80,train,4.5820,0.0246,13.72,4.9781,14.37,692,44.4
81,train,4.0283,0.0757,11.61,5.2300,18.49,674,44.9
82,train,3.4146,0.1384,7.39,4.3314,9.54,730,45.4
83,train,3.7496,0.0714,9.36,4.1200,8.36,770,46.0
84,train,4.2926,0.0238,11.93,4.5003,10.93,757,46.5
85,train,3.8980,0.0480,9.51,4.3183,11.24,688,47.0
86,train,3.6221,0.0857,9.23,4.7663,11.52,700,47.5
87,train,4.6395,0.0458,13.12,4.4922,11.12,743,48.1
88,train,4.3752,0.0566,13.41,5.0101,15.26,636,48.6
89,train,4.8286,0.0405,16.99,4.8623,17.41,692,49.1
90,train,3.8524,0.0453,11.70,4.6602,14.72,728,49.6
91,train,3.6108,0.1938,11.35,4.3158,12.14,743,50.2
