step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
1,train,4.7214,0.0490,13.87,4.4292,13.60,1367,4.5
2,train,3.8908,0.0777,12.04,3.7734,14.29,1312,5.3
3,train,3.8763,0.0937,8.18,3.4323,5.74,1355,6.1
4,train,4.1771,0.0619,10.78,3.8980,11.70,1325,6.8
5,train,4.0239,0.0958,13.78,3.5253,11.49,1388,7.6
6,train,4.8004,0.0473,17.64,4.7109,17.63,1395,8.4
7,train,4.1582,0.0692,11.97,4.0432,10.25,1431,9.1
8,train,4.3809,0.0490,13.92,3.6829,14.01,1389,9.9
9,train,4.1101,0.0571,9.90,3.9196,9.19,1366,10.7
10,train,4.6677,0.0472,14.23,4.4120,12.59,1270,11.5
11,train,4.5220,0.0469,12.28,4.1435,7.40,1300,12.2
12,train,3.9041,0.1109,10.18,3.4387,6.68,1379,13.0
13,train,4.4984,0.0467,11.69,4.4141,8.49,1456,13.8
14,train,4.2023,0.1117,12.67,3.9272,12.87,1442,14.6
15,train,4.1046,0.0979,12.68,3.7701,12.60,1420,15.3
16,train,3.5388,0.1004,8.69,2.8484,6.97,1335,16.1
17,train,3.3724,0.1136,6.90,2.9006,5.95,1365,16.9
18,train,4.3021,0.0592,12.44,3.9739,11.62,1402,17.6
19,train,4.3318,0.0283,10.58,4.1134,11.69,1484,18.4
20,train,4.1787,0.0401,13.27,3.8262,14.34,1395,19.2
21,train,3.4846,0.1085,8.51,3.0132,8.17,1420,20.0
22,train,4.1142,0.0282,12.27,3.6304,12.22,1418,20.7
23,train,4.6306,0.0754,15.77,4.5729,15.87,1353,21.5
24,train,3.1735,0.1699,6.08,2.6523,4.71,1348,22.3
25,train,4.4386,0.0956,14.94,4.3791,12.60,1402,23.0
26,train,3.9396,0.0968,11.16,3.8789,11.97,1416,23.8
27,train,3.8933,0.0720,10.14,3.3067,9.09,1500,24.6
28,train,3.0752,0.1422,6.82,2.9571,7.27,1252,25.4
29,train,3.9503,0.0558,11.92,3.8420,14.49,1416,26.1
30,train,4.5102,0.0820,12.56,4.6453,15.35,1366,26.9
31,train,4.1346,0.1111,11.40,4.0001,11.02,1377,27.7
32,train,4.1531,0.0754,13.27,3.5587,13.14,1300,28.5
33,train,5.1716,0.0211,15.53,4.9115,14.92,1372,29.2
34,train,3.9573,0.1082,10.10,3.8656,9.91,1432,30.0
35,train,4.7739,0.0539,16.61,4.9579,16.76,1372,30.8
36,train,4.3993,0.0166,11.48,4.2898,11.98,1328,31.5
37,train,3.2232,0.1699,6.23,2.8837,3.91,1389,32.3
38,train,4.2608,0.1216,12.34,4.0024,13.82,1415,33.1
39,train,3.9482,0.0986,12.20,3.7035,10.15,1470,33.9
40,train,4.0370,0.0901,12.66,3.9887,13.30,1288,34.6
41,train,3.9535,0.0635,11.87,3.7499,11.21,1370,35.4
42,train,4.4362,0.0837,12.77,4.0645,10.57,1314,36.2
43,train,4.2285,0.0511,12.92,4.0545,12.07,1332,36.9
