step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
1,train,4.6187,0.0791,6.93,4.6307,6.43,1568,4.0,nan,nan
2,train,4.9953,0.0574,7.40,4.4447,6.90,1568,4.8,nan,nan
3,train,5.7714,0.0172,13.16,5.1573,12.14,1568,5.6,nan,nan
4,train,4.4258,0.0548,9.96,4.2524,11.78,1568,6.3,nan,nan
5,train,5.5771,0.0153,8.96,4.8673,8.31,1568,7.1,nan,nan
6,train,4.6008,0.0510,6.08,4.3415,4.82,1568,7.9,nan,nan
7,train,4.7302,0.0746,10.26,4.2759,12.57,1568,8.6,nan,nan
8,train,4.3660,0.0861,7.90,3.6793,6.25,1568,9.4,nan,nan
9,train,5.1168,0.0383,9.92,4.2834,7.67,1568,10.2,nan,nan
10,train,4.4082,0.0344,9.90,4.6367,7.27,1568,10.9,nan,nan
11,train,4.9902,0.0485,6.99,4.8140,9.50,1568,11.7,nan,nan
12,train,4.9058,0.0319,7.64,4.4425,6.60,1568,12.5,nan,nan
13,train,4.7701,0.0172,7.95,4.6373,7.84,1568,13.2,nan,nan
14,train,5.1451,0.0198,10.30,5.1516,11.31,1568,14.0,nan,nan
15,train,4.3827,0.0912,9.67,4.1711,8.78,1568,14.8,nan,nan
16,train,4.2806,0.0663,7.72,4.3541,7.71,1568,15.6,nan,nan
17,train,4.5099,0.0759,8.17,4.3057,8.49,1568,16.3,nan,nan
18,train,4.4697,0.0938,7.98,4.8822,9.26,1568,17.1,nan,nan
19,train,5.9737,0.0019,13.84,6.0206,14.85,1568,17.9,nan,nan
20,train,4.9532,0.0191,11.37,4.9943,12.59,1568,18.6,nan,nan
21,train,5.2292,0.0217,10.72,5.1226,10.43,1568,19.4,nan,nan
22,train,6.4499,0.0000,18.08,5.9959,18.93,1568,20.2,nan,nan
23,train,5.8844,0.0963,13.45,5.7184,14.77,1568,20.9,nan,nan
24,train,5.1330,0.0210,11.50,4.5633,11.03,1568,21.7,nan,nan
25,train,5.6675,0.0217,11.07,5.0264,12.73,1568,22.5,nan,nan
26,train,5.0062,0.0848,11.40,4.6903,11.07,1568,23.2,nan,nan
27,train,5.0413,0.0332,10.83,4.5641,11.16,1568,24.0,nan,nan
28,train,3.3964,0.1333,4.80,3.3479,5.93,1568,24.8,nan,nan
29,train,5.3560,0.0185,10.75,4.9652,10.15,1568,25.5,nan,nan
30,train,5.5094,0.0115,13.33,5.3440,15.41,1568,26.3,nan,nan
31,train,4.5979,0.0689,7.79,3.7675,5.35,1568,27.1,nan,nan
32,train,4.8706,0.0210,11.88,4.6566,13.09,1568,27.8,nan,nan
33,train,4.0668,0.0906,7.07,4.1100,4.72,1568,28.6,nan,nan
34,train,4.3334,0.1314,8.22,4.1461,8.61,1568,29.4,nan,nan
35,train,4.7796,0.0619,11.54,4.3579,11.36,1568,30.1,nan,nan
36,train,4.3102,0.0708,5.70,4.3186,4.67,1568,30.9,nan,nan
37,train,5.4286,0.0179,10.42,5.1132,9.60,1568,31.7,nan,nan
38,train,4.1268,0.0816,6.31,3.5248,3.20,1568,32.4,nan,nan
39,train,4.6259,0.0453,7.57,4.3769,9.04,1568,33.2,nan,nan
40,train,5.3057,0.0772,9.45,5.0605,8.52,1568,34.0,nan,nan
41,train,5.4121,0.0389,12.18,4.9874,12.66,1568,34.7,nan,nan
42,train,4.7454,0.0121,9.28,4.9317,9.28,1568,35.5,nan,nan
43,train,4.6632,0.1244,6.98,4.5456,5.07,1568,36.3,nan,nan
44,train,5.5133,0.0376,12.82,5.1124,10.78,1568,37.0,nan,nan
45,train,4.5522,0.0759,6.47,4.2112,5.27,1568,37.8,nan,nan
46,train,4.1302,0.0529,5.28,3.8451,3.78,1568,38.6,nan,nan
47,train,4.2693,0.0695,5.62,4.2391,4.80,1568,39.3,nan,nan
48,train,4.3460,0.0619,6.31,4.1949,4.41,1568,40.1,nan,nan
49,train,4.4965,0.1027,7.33,4.4445,5.98,1568,40.9,nan,nan
50,train,4.4418,0.0835,5.41,4.0368,5.29,1568,41.6,nan,nan
51,train,4.6578,0.0555,7.24,4.4226,6.03,1568,42.4,nan,nan
52,train,3.9338,0.0867,8.03,3.5218,9.00,1568,43.2,nan,nan
53,train,5.2459,0.0083,9.13,4.9021,9.27,1568,43.9,nan,nan
54,train,4.5279,0.0274,6.48,4.1005,5.94,1568,44.7,nan,nan
55,train,4.9531,0.0453,9.31,4.5974,8.72,1568,45.5,nan,nan
56,train,5.0360,0.0255,9.13,5.2195,7.66,1568,46.2,nan,nan
57,train,4.8942,0.0593,10.83,4.9591,12.81,1568,47.0,nan,nan
58,train,5.0393,0.0466,10.11,4.7917,6.68,1568,47.8,nan,nan
59,train,3.7060,0.0631,5.44,3.6384,4.70,1568,48.5,nan,nan
60,train,4.5841,0.0542,8.73,4.5320,9.13,1568,49.3,nan,nan
61,train,5.3654,0.0121,11.12,5.4317,10.18,1568,50.1,nan,nan
62,train,4.5160,0.0638,7.24,4.4113,7.23,1568,50.8,nan,nan
63,train,5.1223,0.0312,6.44,4.3179,4.14,1568,51.6,nan,nan
64,train,4.1612,0.0408,8.03,4.1560,9.32,1568,52.4,nan,nan
65,train,4.8884,0.0599,9.95,4.9609,10.54,1568,53.1,nan,nan
66,train,5.1386,0.0159,10.23,4.6435,6.56,1568,53.9,nan,nan
67,train,4.7865,0.0140,10.53,4.3284,10.77,1568,54.7,nan,nan
68,train,5.4319,0.0191,12.75,5.2698,9.93,1568,55.4,nan,nan
69,train,4.3535,0.0619,7.26,4.3182,6.87,1568,56.2,nan,nan
70,train,4.9544,0.0325,10.08,4.7553,11.18,1568,57.0,nan,nan
71,train,5.4662,0.0599,10.61,5.3490,9.77,1568,57.8,nan,nan
72,train,4.6534,0.0402,8.40,4.2516,6.69,1568,58.5,nan,nan
73,train,4.5831,0.0702,8.55,4.4255,8.39,1568,59.3,nan,nan
74,train,4.9373,0.0472,9.23,4.4041,9.36,1568,60.1,nan,nan
75,train,5.1756,0.0440,10.66,5.2041,11.73,1568,60.8,nan,nan
76,train,5.3034,0.0529,10.27,5.2046,9.50,1568,61.6,nan,nan
77,train,5.2048,0.0108,7.48,4.8121,5.61,1568,62.4,nan,nan
78,train,4.8833,0.0472,9.83,4.5952,10.47,1568,63.1,nan,nan
79,train,3.7192,0.1244,4.95,3.6985,4.63,1568,63.9,nan,nan
