step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
1,train,4.7762,0.0626,17.40,4.9146,20.20,1326,6.0,nan,nan
2,train,4.0071,0.0715,9.25,3.5357,6.74,1343,6.8,nan,nan
3,train,4.6226,0.0399,14.48,4.2223,13.90,1405,7.6,nan,nan
4,train,4.3164,0.0717,12.34,4.1371,14.57,1381,8.4,nan,nan
5,train,4.4514,0.0908,14.74,4.0395,18.29,1354,9.1,nan,nan
6,train,4.2671,0.0868,10.71,3.5949,5.54,1371,9.9,nan,nan
7,train,4.5776,0.0374,14.95,4.2464,13.84,1445,10.7,nan,nan
8,train,4.0509,0.1063,11.45,4.0036,9.91,1373,11.5,nan,nan
9,train,4.1636,0.0645,12.65,4.2596,14.43,1334,12.2,nan,nan
10,train,3.9492,0.0848,11.76,3.7829,14.32,1415,13.0,nan,nan
11,train,3.7691,0.1003,8.25,3.3003,7.34,1326,13.8,nan,nan
12,train,4.0196,0.0678,13.09,3.8812,18.57,1356,14.6,nan,nan
13,train,4.6385,0.0258,10.65,4.4061,10.26,1434,15.3,nan,nan
14,train,4.1739,0.0408,13.28,4.1528,16.78,1275,16.1,nan,nan
15,train,4.0514,0.0449,11.18,3.2467,7.90,1313,16.9,nan,nan
16,train,3.8817,0.0693,9.11,3.1691,6.71,1442,17.7,nan,nan
17,train,3.7975,0.0894,8.60,3.5646,8.73,1432,18.4,nan,nan
18,train,3.8198,0.0728,9.12,3.4023,6.90,1428,19.2,nan,nan
19,train,4.8940,0.0167,15.89,4.6006,15.53,1380,20.0,nan,nan
20,train,4.4062,0.0256,13.54,4.1724,11.61,1443,20.8,nan,nan
21,train,4.1007,0.0603,10.99,3.6830,10.70,1393,21.5,nan,nan
22,train,5.1644,0.0353,17.26,5.2374,20.26,1388,22.3,nan,nan
23,train,4.9519,0.0378,14.31,5.2637,14.62,1402,23.1,nan,nan
24,train,4.0564,0.0976,9.73,3.4989,8.38,1291,23.9,nan,nan
25,train,3.8702,0.1780,10.50,3.6587,11.49,1292,24.6,nan,nan
26,train,4.7810,0.0529,17.54,4.6720,15.81,1286,25.4,nan,nan
27,train,4.4858,0.0116,14.76,4.0592,17.58,1471,26.2,nan,nan
28,train,3.1632,0.1422,6.90,2.9024,8.19,1406,27.0,nan,nan
29,train,3.6750,0.0776,10.92,3.1934,10.00,1378,27.7,nan,nan
30,train,4.4838,0.0415,13.01,4.2582,14.16,1399,28.5,nan,nan
31,train,3.9293,0.1037,9.27,3.6441,10.80,1388,29.3,nan,nan
32,train,4.1887,0.1268,11.75,4.0239,12.76,1364,30.1,nan,nan
33,train,3.4149,0.0912,9.08,3.4181,10.96,1338,30.8,nan,nan
34,train,3.6153,0.1693,9.20,3.2571,6.00,1264,31.6,nan,nan
35,train,4.0115,0.0722,10.11,3.8792,7.21,1330,32.4,nan,nan
36,train,3.9954,0.0757,8.97,3.6479,8.70,1361,33.2,nan,nan
37,train,4.3025,0.0312,11.95,3.8286,9.38,1378,33.9,nan,nan
38,train,3.7996,0.1021,8.75,3.2422,6.60,1391,34.7,nan,nan
39,train,3.6659,0.0797,9.36,3.5399,9.86,1367,35.5,nan,nan
40,train,4.7587,0.1436,12.21,4.5210,12.22,1358,36.3,nan,nan
41,train,4.0958,0.0945,10.17,3.6884,11.00,1376,37.0,nan,nan
42,train,4.8144,0.0077,13.55,4.6834,14.90,1554,37.8,nan,nan
43,train,3.4585,0.1325,7.18,3.4843,7.74,1351,38.6,nan,nan
44,train,3.6121,0.1171,8.98,3.7803,8.93,1375,39.4,nan,nan
45,train,3.7878,0.0785,10.10,3.3139,7.14,1351,40.1,nan,nan
46,train,3.2289,0.0929,7.60,2.6168,1.83,1388,40.9,nan,nan
47,train,3.5676,0.0585,8.17,3.2223,5.95,1317,41.7,nan,nan
48,train,3.8558,0.0586,10.18,3.4084,8.48,1313,42.5,nan,nan
49,train,3.6622,0.1418,8.76,3.5106,11.26,1410,43.3,nan,nan
50,train,3.6780,0.0951,7.77,3.3714,6.32,1273,44.0,nan,nan
51,train,3.6416,0.1037,9.70,3.3755,8.55,1350,44.8,nan,nan
52,train,3.2079,0.2130,8.16,3.0207,8.91,1352,45.6,nan,nan
53,train,3.6016,0.0378,7.43,3.2568,7.03,1402,46.4,nan,nan
54,train,3.4486,0.0536,8.20,3.3055,4.33,1324,47.1,nan,nan
