step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
1,train,4.2318,0.0836,15.92,3.9618,16.91,1327,4.5
2,train,3.8586,0.0729,8.31,3.4179,5.76,1331,5.2
3,train,4.7123,0.0283,13.22,4.0896,12.20,1378,6.0
4,train,4.2006,0.0389,9.66,3.9568,9.03,1414,6.8
5,train,3.9631,0.0870,9.57,3.4904,7.67,1379,7.5
6,train,3.8255,0.0507,9.63,2.9597,7.61,1380,8.3
7,train,4.1515,0.0233,11.11,3.6429,8.43,1415,9.1
8,train,4.5776,0.0543,14.78,4.1567,8.65,1418,9.8
9,train,3.5577,0.1416,8.48,3.8437,10.11,1434,10.6
10,train,3.9987,0.0900,11.58,3.6922,11.62,1378,11.4
11,train,4.5974,0.0762,17.88,4.3718,16.10,1405,12.2
12,train,4.2753,0.0569,11.36,4.1115,10.04,1407,12.9
13,train,4.0208,0.0867,9.79,4.0350,8.59,1326,13.7
14,train,3.9492,0.0853,10.15,3.4292,6.12,1360,14.5
15,train,3.6490,0.0785,7.71,2.6898,6.66,1338,15.2
16,train,4.0988,0.0843,11.86,3.7905,8.54,1400,16.0
17,train,4.0469,0.0799,10.99,3.9614,12.54,1377,16.8
18,train,3.2539,0.0811,9.27,2.9647,10.44,1406,17.6
19,train,4.1926,0.0861,14.73,4.0269,12.59,1428,18.3
20,train,3.2628,0.1715,7.68,3.0015,7.30,1388,19.1
21,train,4.2635,0.0481,12.15,3.8711,8.84,1268,19.9
22,train,3.7293,0.1557,8.45,3.6946,7.66,1432,20.6
23,train,4.7208,0.0218,16.51,4.2618,16.08,1377,21.4
24,train,4.3138,0.0369,11.51,4.0061,9.20,1300,22.2
25,train,3.9328,0.0849,10.71,2.9369,11.28,1378,22.9
26,train,4.0991,0.0873,9.89,4.1767,8.54,1432,23.7
27,train,4.6816,0.0347,14.32,4.6015,15.36,1326,24.5
28,train,3.8069,0.0994,9.51,3.3575,10.28,1419,25.3
29,train,4.5593,0.0200,13.21,4.2042,7.44,1348,26.0
30,train,3.4277,0.0885,6.90,3.1400,5.00,1458,26.8
31,train,3.7318,0.1510,11.47,3.4058,10.27,1364,27.6
32,train,4.6595,0.0304,13.42,4.5435,11.66,1348,28.3
33,train,4.3399,0.0695,14.72,4.0961,14.09,1323,29.1
34,train,3.2392,0.1781,8.24,2.9415,8.70,1404,29.9
35,train,3.3937,0.1835,7.48,3.1453,7.68,1390,30.7
36,train,3.6934,0.1603,8.85,3.1521,8.15,1379,31.4
37,train,4.2222,0.0242,13.12,4.1986,12.61,1403,32.2
38,train,4.5984,0.0410,12.66,4.4769,13.50,1390,33.0
39,train,3.6242,0.1010,10.05,3.6083,11.79,1367,33.7
40,train,4.0303,0.0850,9.31,3.7127,9.98,1400,34.5
41,train,4.1478,0.0846,9.95,3.5887,7.03,1406,35.3
42,train,4.2295,0.0803,12.47,3.7893,10.81,1395,36.1
43,train,3.7150,0.0873,7.74,3.7383,6.03,1260,36.8
44,train,3.8378,0.0686,9.38,3.5724,9.09,1444,37.6
45,train,3.4333,0.1898,10.20,3.5303,13.69,1375,38.4
46,train,4.7246,0.0655,11.63,4.7337,11.23,1419,39.1
47,train,3.4528,0.2098,9.73,3.6259,11.48,1444,39.9
48,train,3.3135,0.1576,8.09,3.1278,8.48,1447,40.7
49,train,3.7077,0.0908,9.08,3.0458,8.36,1420,41.4
50,train,4.1942,0.0616,13.06,3.7654,10.47,1314,42.2
51,train,3.9713,0.0418,9.92,3.5273,7.75,1365,43.0
52,train,3.2420,0.1717,8.11,3.5600,6.03,1404,43.8
53,train,3.9681,0.0916,11.08,3.9448,12.41,1484,44.5
54,train,3.4854,0.2005,9.79,3.5820,14.78,1456,45.3
