step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
1,train,4.5860,0.0778,9.14,4.4090,9.40,1568,4.1,nan,nan
2,train,4.2521,0.0580,5.02,3.7778,3.83,1568,4.8,nan,nan
3,train,4.4940,0.0810,8.69,4.7055,8.80,1568,5.6,nan,nan
4,train,5.3091,0.0147,10.34,5.3148,7.28,1568,6.4,nan,nan
5,train,4.4508,0.0938,9.16,4.5378,7.62,1568,7.1,nan,nan
6,train,4.9683,0.0408,10.59,4.8242,9.55,1568,7.9,nan,nan
7,train,4.5059,0.0861,7.48,4.6018,5.43,1568,8.7,nan,nan
8,train,4.1543,0.0778,8.48,3.6658,5.52,1568,9.5,nan,nan
9,train,5.3052,0.0255,9.05,4.7646,9.02,1568,10.3,nan,nan
10,train,4.8623,0.0638,10.54,4.7215,11.18,1568,11.0,nan,nan
11,train,3.9078,0.0638,4.94,4.0738,6.54,1568,11.8,nan,nan
12,train,5.6445,0.0784,14.10,5.4567,13.45,1568,12.6,nan,nan
13,train,5.3316,0.0670,9.83,5.3113,7.66,1568,13.4,nan,nan
14,train,4.9605,0.0370,10.30,4.6176,7.85,1568,14.1,nan,nan
15,train,5.4425,0.0172,9.73,5.2442,11.56,1568,14.9,nan,nan
16,train,5.0089,0.0651,8.87,5.1750,9.06,1568,15.7,nan,nan
17,train,4.2168,0.1588,6.60,3.5691,5.66,1568,16.5,nan,nan
18,train,5.1800,0.0855,10.65,4.5064,9.01,1568,17.2,nan,nan
19,train,4.4753,0.0415,9.03,4.1595,8.55,1568,18.0,nan,nan
20,train,3.1529,0.1830,4.27,3.1734,5.42,1568,18.8,nan,nan
21,train,3.9186,0.2124,6.47,3.2938,6.65,1568,19.5,nan,nan
22,train,4.6377,0.0402,7.15,4.7808,7.32,1568,20.3,nan,nan
23,train,5.3496,0.0102,10.26,5.0135,11.09,1568,21.1,nan,nan
24,train,4.6149,0.0682,7.08,4.6125,5.76,1568,21.9,nan,nan
25,train,4.9659,0.1409,10.93,5.1482,11.28,1568,22.7,nan,nan
26,train,3.6497,0.1448,5.50,3.1215,4.81,1568,23.4,nan,nan
27,train,3.9191,0.1161,6.76,3.5139,4.39,1568,24.2,nan,nan
28,train,4.3156,0.1371,8.54,4.2189,7.02,1568,25.0,nan,nan
29,train,4.3311,0.1193,4.82,4.2578,4.24,1568,25.8,nan,nan
