step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
1,train,5.0496,0.0487,16.95,5.1734,18.21,1377,5.3
2,train,3.9694,0.0804,8.61,3.3426,5.61,1368,6.1
3,train,3.9360,0.1312,10.50,3.4678,8.66,1471,6.9
4,train,4.5570,0.0317,14.79,3.8772,12.36,1388,7.7
5,train,4.4553,0.0668,12.13,4.0161,10.86,1378,8.5
6,train,4.6277,0.0220,15.14,4.2750,15.24,1317,9.3
7,train,4.1810,0.0618,11.58,4.1049,11.36,1456,10.1
8,train,3.9545,0.0712,10.80,3.2553,6.97,1404,10.9
9,train,4.7867,0.0442,15.74,4.5309,16.20,1357,11.7
10,train,4.2594,0.0459,13.37,4.0649,14.73,1416,12.5
11,train,4.0492,0.0877,13.66,4.1660,13.65,1379,13.3
12,train,4.5127,0.0403,14.48,4.1245,9.97,1388,14.1
13,train,4.5128,0.0689,13.26,4.6774,12.59,1364,14.9
14,train,4.1649,0.0928,12.39,3.7404,14.09,1315,15.7
15,train,4.5594,0.0369,12.87,4.9154,16.19,1354,16.5
16,train,4.1917,0.0813,11.45,4.0131,12.73,1365,17.3
17,train,3.9870,0.1032,11.16,4.0305,11.92,1396,18.1
18,train,4.1487,0.1164,11.23,3.7886,10.49,1366,18.9
19,train,4.3839,0.0885,13.81,3.8453,11.62,1390,19.7
20,train,3.4991,0.1078,7.68,2.7809,6.73,1391,20.5
21,train,3.3261,0.1785,9.21,2.7153,9.60,1328,21.3
22,train,3.8337,0.1218,11.98,3.8334,11.59,1338,22.1
23,train,4.6648,0.0441,13.65,4.4456,11.70,1382,22.9
24,train,3.4554,0.1761,13.21,3.3951,11.83,1329,23.7
25,train,4.2486,0.0870,13.75,4.1981,12.68,1322,24.5
26,train,2.8151,0.2173,6.37,2.4952,6.55,1362,25.3
27,train,4.0407,0.0980,13.32,3.5825,13.98,1377,26.1
28,train,3.9952,0.1026,10.91,3.8942,11.40,1374,26.9
29,train,3.5591,0.0928,7.53,2.9018,8.10,1444,27.7
30,train,5.0347,0.0209,17.65,4.2601,12.24,1338,28.4
31,train,4.4600,0.0566,12.95,3.6257,12.20,1360,29.2
32,train,3.8923,0.0935,11.55,3.8849,15.68,1380,30.0
33,train,3.4652,0.1578,8.23,3.1057,8.66,1445,30.8
34,train,4.1295,0.0425,12.55,3.6111,9.98,1388,31.6
35,train,4.0454,0.1194,10.30,3.6741,7.19,1407,32.4
36,train,3.8253,0.0962,9.18,3.3853,6.92,1352,33.2
37,train,4.8606,0.0681,15.69,4.8434,17.77,1365,34.0
38,train,4.2229,0.0381,10.37,3.7630,8.45,1442,34.8
39,train,3.7710,0.1147,8.89,3.0436,5.77,1421,35.6
40,train,2.8514,0.2648,5.30,2.3625,3.62,1484,36.4
41,train,4.2248,0.1144,14.37,4.1126,16.64,1381,37.2
42,train,3.6076,0.1544,9.85,2.9995,7.77,1444,38.0
43,train,4.0633,0.1098,10.56,4.3298,14.23,1312,38.8
44,train,3.8147,0.0857,11.18,3.6254,10.84,1388,39.6
45,train,3.5135,0.2258,8.80,3.3643,7.78,1373,40.4
46,train,3.5371,0.0803,9.44,2.8321,8.48,1432,41.2
47,train,4.1313,0.0282,10.81,4.2149,11.84,1416,42.0
48,train,4.0279,0.0713,9.98,3.6721,7.80,1430,42.8
49,train,3.6062,0.1068,9.76,3.2763,9.24,1498,43.6
50,train,3.1158,0.1386,6.55,2.6125,6.23,1457,44.4
51,train,3.9522,0.0681,12.74,3.2490,13.45,1366,45.1
52,train,3.6322,0.1546,8.73,3.1047,7.66,1442,45.9
53,train,3.8624,0.0603,11.88,3.2745,9.88,1459,46.7
54,train,3.9440,0.0796,9.85,3.3307,8.55,1432,47.5
55,train,3.6705,0.1577,10.40,3.8442,9.40,1370,48.3
56,train,3.4444,0.1722,9.32,3.2066,8.75,1260,49.1
57,train,3.2869,0.1189,6.63,3.1036,4.62,1446,49.9
58,train,3.0698,0.2332,7.19,3.0970,4.53,1445,50.7
59,train,4.1508,0.0305,14.94,3.8056,14.92,1379,51.5
60,train,2.9144,0.1927,5.79,2.2538,3.41,1458,52.3
61,train,3.9306,0.0844,8.80,3.4716,6.31,1470,53.1
62,train,3.0917,0.1346,6.80,2.7717,5.70,1404,53.9
63,train,3.5687,0.1076,8.51,2.8493,8.54,1431,54.7
64,train,3.5977,0.0975,8.92,3.4379,9.24,1364,55.5
65,train,3.4038,0.1240,8.80,3.6437,9.36,1444,56.3
66,train,3.2711,0.2519,8.47,2.9712,8.76,1421,57.1
67,train,3.7062,0.1448,10.92,3.3361,11.74,1402,57.9
68,train,4.6661,0.0162,13.27,4.3611,15.24,1416,58.7
69,train,4.2449,0.1185,13.72,4.0778,14.50,1376,59.5
70,train,3.7176,0.0947,8.76,3.6107,8.62,1404,60.3
71,train,3.3827,0.1311,7.00,3.0539,6.13,1388,61.1
72,train,2.9539,0.1692,5.88,2.8118,4.83,1442,61.9
73,train,4.6834,0.0160,13.38,3.8887,9.30,1376,62.7
74,train,3.5682,0.1649,11.46,3.3729,11.08,1401,63.5
75,train,4.3984,0.1160,10.54,4.3587,9.36,1310,64.3
76,train,4.0998,0.0457,10.63,3.9580,10.55,1378,65.1
77,train,3.9185,0.0360,11.94,3.6256,12.47,1417,65.9
78,train,3.6536,0.0958,9.40,3.6691,10.28,1325,66.7
79,train,3.5483,0.1413,9.29,3.4451,9.51,1338,67.5
80,train,3.7783,0.0868,10.63,3.5573,10.40,1406,68.3
81,train,3.4712,0.1157,9.69,3.1545,8.45,1417,69.1
82,train,3.1731,0.1748,7.83,2.8920,5.50,1350,69.8
83,train,4.0440,0.1230,9.80,3.3156,6.34,1407,70.6
84,train,2.8335,0.1844,5.73,2.5764,6.00,1280,71.4
85,train,2.9587,0.1386,6.15,2.4460,3.74,1342,72.2
86,train,3.8314,0.0711,10.17,3.7268,8.42,1392,73.0
87,train,3.9764,0.0970,9.28,3.8883,6.81,1320,73.8
88,train,3.2275,0.2000,12.38,2.7930,11.58,1360,74.6
89,train,4.5957,0.0220,11.62,4.7015,10.66,1361,75.4
90,train,3.5842,0.1123,8.72,3.1903,5.91,1442,76.2
91,train,3.4209,0.1226,11.16,3.0740,12.74,1338,77.0
92,train,2.8481,0.2363,6.01,2.8876,6.65,1456,77.8
93,train,3.8162,0.1713,10.19,3.5792,10.62,1366,78.6
94,train,3.4847,0.1421,7.51,3.2978,6.66,1443,79.4
95,train,4.0718,0.1186,9.25,3.9858,10.38,1391,80.2
96,train,3.2080,0.1680,10.14,3.1011,9.92,1357,81.0
97,train,3.4808,0.1760,10.16,3.7522,11.36,1392,81.8
98,train,4.1442,0.0644,12.75,4.4919,13.46,1366,82.6
99,train,3.0958,0.1276,6.00,2.5366,4.94,1403,83.4
100,train,3.2541,0.1688,7.73,3.8113,10.14,1392,84.2
101,train,3.3986,0.1104,9.36,3.2825,8.73,1377,85.0
102,train,3.8702,0.0634,11.46,3.6464,11.58,1404,85.8
103,train,2.9925,0.1954,7.82,3.0978,9.92,1428,86.6
