step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
1,train,7.0782,0.0003,30.45,6.8187,24.04,3856,4.5,18.796,18.352
2,train,6.3076,0.0066,23.39,6.1736,17.16,4246,5.1,15.938,15.897
3,train,6.9454,0.0059,31.32,6.6726,26.69,4273,5.7,18.307,18.137
4,train,7.1166,0.0015,40.83,6.6673,16.81,4728,6.3,13.866,13.543
5,train,7.4211,0.0035,49.22,6.9728,34.93,4845,6.9,22.776,22.664
6,train,7.0758,0.0011,35.27,6.7248,16.15,4571,7.5,11.973,11.931
7,train,6.7325,0.0014,36.45,6.3802,24.53,4247,8.0,12.866,12.796
8,train,6.5805,0.0093,23.93,6.4345,15.85,4279,8.6,11.349,11.294
9,train,6.6475,0.0082,29.37,6.4258,14.11,5216,9.2,13.210,13.121
10,train,6.4534,0.0275,23.65,6.3170,11.86,4322,9.8,13.337,13.219
11,train,6.5149,0.0070,32.06,6.3629,19.98,4127,10.4,15.279,15.149
12,train,6.4479,0.0050,22.02,6.3039,16.84,4014,11.0,16.126,16.061
13,train,6.2802,0.0073,21.27,6.1585,15.77,4412,11.5,13.736,13.668
14,train,5.8448,0.0060,14.61,5.7523,10.31,3850,12.1,8.314,8.086
15,train,6.0930,0.0059,23.75,5.9322,23.94,4607,12.7,17.840,17.775
16,train,5.8340,0.0172,18.32,5.7305,15.57,4716,13.3,14.443,14.374
17,train,5.5181,0.0343,15.46,5.3779,8.77,4371,13.9,11.474,11.359
18,train,5.5023,0.0090,17.22,5.3404,12.08,4453,14.5,13.172,13.093
19,train,5.4064,0.0080,15.24,5.3017,12.23,4528,15.0,11.603,11.505
20,train,5.5529,0.0221,16.19,5.4789,14.05,5465,15.6,13.537,13.493
21,train,5.3550,0.0082,15.07,5.1745,13.77,4861,16.2,13.527,13.449
22,train,5.7277,0.0021,19.93,5.6588,19.08,4663,16.8,17.983,17.900
23,train,5.3815,0.0016,18.55,5.2305,17.22,4434,17.4,14.329,14.268
24,train,5.2891,0.0178,16.60,5.1066,17.32,4219,18.0,15.134,15.065
25,train,5.4119,0.0150,16.68,5.4032,17.74,4343,18.5,13.640,13.558
26,train,5.2793,0.0092,13.83,5.1017,13.74,4450,19.1,10.175,10.044
27,train,4.8495,0.0583,11.56,4.6247,8.37,4614,19.7,9.139,9.030
28,train,4.9017,0.0364,13.83,4.7439,13.36,4502,20.3,13.007,12.904
29,train,5.0728,0.0168,14.44,4.9777,17.21,4283,20.9,12.619,12.427
30,train,5.1694,0.0004,16.44,5.0829,16.18,4584,21.5,14.306,14.176
31,train,5.1608,0.0490,16.62,4.9173,15.12,3938,22.1,14.549,14.415
32,train,5.2049,0.0045,16.50,5.2043,19.35,5587,22.6,14.972,14.894
33,train,5.2966,0.0242,14.63,5.1927,13.62,5288,23.2,12.616,12.471
34,train,5.6894,0.0068,19.95,5.5458,20.44,4555,23.8,18.368,18.319
35,train,5.0584,0.0071,14.87,4.8953,15.75,4242,24.4,13.052,12.975
36,train,5.3057,0.0044,17.10,5.1276,17.75,4763,25.0,16.511,16.460
37,train,5.3926,0.0016,19.11,5.3707,18.92,4497,25.6,17.155,17.100
38,train,5.3358,0.0035,17.81,5.1476,16.39,4004,26.1,15.653,15.560
39,train,5.0674,0.0033,15.25,4.9652,13.66,4882,26.7,14.352,14.288
40,train,4.6635,0.0085,10.91,4.5749,10.94,4613,27.3,6.192,5.819
41,train,4.7646,0.0447,11.74,4.6802,7.74,4317,27.9,10.276,10.130
42,train,5.3172,0.0451,16.98,5.2015,17.38,4083,28.5,14.297,14.154
43,train,5.1649,0.0066,16.65,5.0742,15.58,4842,29.1,14.806,14.717
44,train,5.0743,0.0107,14.19,4.8122,15.08,4847,29.7,13.562,13.360
45,train,5.2546,0.0027,16.37,5.2216,15.83,4374,30.2,14.406,14.316
46,train,5.2335,0.0423,15.70,5.0721,13.48,4770,30.8,13.041,13.023
47,train,4.8358,0.0082,13.78,4.6307,13.75,4536,31.4,10.538,10.411
48,train,5.5330,0.0000,19.11,5.2966,21.00,4299,32.0,15.804,15.725
49,train,5.3798,0.0077,19.37,5.2049,20.32,4533,32.6,16.572,16.533
50,train,5.0397,0.0137,16.78,4.9137,13.66,4102,33.2,13.692,13.611
51,train,5.4293,0.0027,18.81,5.4156,19.37,4139,33.7,16.975,16.954
52,train,4.9445,0.0106,13.41,4.6864,8.99,4528,34.3,11.489,11.303
53,train,4.7183,0.0143,13.96,4.5561,12.67,4482,34.9,11.289,11.214
54,train,5.0304,0.0080,17.22,4.7343,15.21,4272,35.5,13.728,13.675
55,train,4.5332,0.0444,12.00,4.2025,9.29,4822,36.1,9.247,9.085
56,train,4.8255,0.0473,14.02,4.4901,10.07,5138,36.7,11.505,11.373
57,train,4.5632,0.0248,12.45,4.3462,9.48,5328,37.2,10.078,9.933
58,train,5.2077,0.0042,18.02,4.9037,17.07,4088,37.8,14.976,14.832
59,train,4.5348,0.0471,13.06,4.4252,13.60,3863,38.4,10.740,10.606
