step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
1,train,7.0782,0.0003,30.45,6.8187,24.04,3856,6.3,18.796,18.352
2,train,6.3075,0.0066,23.41,6.1735,17.16,4246,6.9,15.948,15.907
3,train,6.9455,0.0061,31.33,6.6731,26.69,4273,7.5,18.316,18.143
4,train,7.1132,0.0017,40.84,6.6660,16.81,4728,8.0,13.802,13.468
5,train,7.4240,0.0033,49.53,6.9751,34.93,4845,8.6,22.649,22.533
6,train,7.1009,0.0013,36.14,6.7399,16.15,4571,9.2,11.915,11.870
7,train,6.7599,0.0014,37.31,6.3984,24.53,4247,9.8,13.084,13.020
8,train,6.5971,0.0098,24.25,6.4458,15.85,4279,10.4,11.087,11.028
9,train,6.6798,0.0075,31.07,6.4531,14.11,5216,10.9,13.316,13.233
10,train,6.4882,0.0257,26.18,6.3461,11.86,4322,11.5,13.211,13.083
11,train,6.5681,0.0058,36.11,6.4117,19.98,4127,12.1,15.771,15.643
12,train,6.4806,0.0065,22.46,6.3314,16.84,4014,12.7,16.089,16.027
13,train,6.3126,0.0075,21.78,6.1891,15.77,4412,13.3,13.878,13.815
14,train,5.8710,0.0044,15.01,5.7765,12.20,3850,13.8,8.272,8.064
15,train,6.1019,0.0054,23.71,5.9402,23.94,4607,14.4,17.682,17.619
16,train,5.8429,0.0176,18.27,5.7354,14.18,4716,15.0,14.136,14.075
17,train,5.5535,0.0254,16.25,5.4082,8.77,4371,15.6,11.780,11.681
18,train,5.5296,0.0070,17.62,5.3637,12.08,4453,16.2,13.150,13.081
19,train,5.4240,0.0077,15.32,5.3146,12.23,4528,16.7,11.573,11.478
20,train,5.5635,0.0225,16.29,5.4856,15.99,5465,17.3,13.605,13.565
21,train,5.3666,0.0076,15.08,5.1845,13.77,4861,17.9,13.523,13.447
22,train,5.7241,0.0019,20.00,5.6534,19.08,4663,18.5,17.933,17.846
23,train,5.3850,0.0009,18.49,5.2320,17.98,4434,19.1,14.311,14.246
24,train,5.2852,0.0175,16.51,5.1052,17.32,4219,19.6,14.952,14.878
25,train,5.4134,0.0150,16.71,5.4057,17.74,4343,20.2,13.568,13.477
26,train,5.2832,0.0090,13.89,5.1057,13.74,4450,20.8,10.211,10.087
27,train,4.8657,0.0564,11.67,4.6426,8.37,4614,21.4,9.188,9.072
28,train,4.9151,0.0375,13.91,4.7568,13.36,4502,22.0,13.047,12.949
29,train,5.0859,0.0168,14.46,4.9927,17.21,4283,22.5,12.730,12.569
30,train,5.1714,0.0002,16.30,5.0812,17.06,4584,23.1,14.329,14.196
31,train,5.1719,0.0493,16.73,4.9268,16.83,3938,23.7,14.596,14.475
32,train,5.1999,0.0043,16.46,5.1946,19.35,5587,24.3,14.921,14.863
33,train,5.3161,0.0225,14.74,5.2137,13.62,5288,24.9,12.620,12.502
34,train,5.6805,0.0068,20.03,5.5359,20.44,4555,25.4,18.429,18.364
35,train,5.0591,0.0078,15.07,4.8940,15.75,4242,26.0,13.208,13.130
36,train,5.3097,0.0042,17.09,5.1325,16.33,4763,26.6,16.517,16.472
37,train,5.3906,0.0013,19.25,5.3720,18.92,4497,27.2,17.176,17.118
38,train,5.3292,0.0042,17.92,5.1410,15.90,4004,27.8,15.696,15.607
39,train,5.0609,0.0037,15.26,4.9538,13.25,4882,28.3,14.327,14.260
40,train,4.6747,0.0074,11.08,4.5821,10.94,4613,28.9,6.135,5.796
41,train,4.7712,0.0456,11.72,4.6827,9.74,4317,29.5,10.248,10.102
42,train,5.3104,0.0438,16.87,5.1913,17.38,4083,30.1,14.186,14.104
43,train,5.1613,0.0085,16.60,5.0640,15.58,4842,30.7,14.744,14.661
44,train,5.0815,0.0120,14.18,4.8190,12.47,4847,31.2,13.617,13.413
45,train,5.2499,0.0039,16.44,5.2130,13.56,4374,31.8,14.461,14.375
46,train,5.2312,0.0428,15.71,5.0697,13.48,4770,32.4,12.996,12.968
47,train,4.8418,0.0077,13.84,4.6335,13.75,4536,33.0,10.588,10.465
48,train,5.5236,0.0000,19.05,5.2839,21.00,4299,33.6,15.770,15.690
49,train,5.3869,0.0084,19.54,5.2084,20.32,4533,34.1,16.643,16.608
50,train,5.0386,0.0144,16.58,4.9106,14.25,4102,34.7,13.634,13.571
51,train,5.4212,0.0024,18.83,5.4072,20.24,4139,35.3,16.961,16.939
52,train,4.9524,0.0121,13.54,4.6922,10.74,4528,35.9,11.525,11.335
53,train,4.7335,0.0118,14.19,4.5650,12.67,4482,36.5,11.410,11.351
54,train,5.0632,0.0066,17.54,4.7566,15.21,4272,37.0,13.987,13.937
55,train,4.5439,0.0427,12.01,4.2074,9.29,4822,37.6,9.302,9.143
56,train,4.8372,0.0440,14.12,4.5025,10.07,5138,38.2,11.535,11.412
57,train,4.5698,0.0235,12.47,4.3503,10.48,5328,38.8,10.075,9.943
58,train,5.2132,0.0061,17.93,4.9057,17.07,4088,39.4,14.882,14.750
59,train,4.5421,0.0471,13.11,4.4292,13.60,3863,39.9,10.728,10.615
60,train,5.1859,0.0011,18.19,5.0895,18.99,5438,40.5,15.711,15.636
61,train,4.6789,0.0106,15.75,4.5097,16.79,4896,41.1,11.289,11.160
62,train,5.4199,0.0011,18.62,5.3338,20.02,4712,41.7,16.248,16.187
63,train,5.1315,0.0023,16.86,4.8652,17.71,5222,42.3,13.333,13.277
64,train,4.9343,0.0106,14.57,4.7434,12.64,4698,42.9,12.067,12.014
65,train,4.9404,0.0073,15.48,4.8348,13.54,4227,43.4,13.541,13.463
66,train,4.4285,0.0371,11.71,4.2049,8.24,4854,44.0,7.989,7.960
67,train,4.7592,0.0291,16.12,4.4398,13.30,5215,44.6,14.063,14.032
68,train,4.8779,0.0257,16.14,4.7288,12.02,4559,45.2,12.911,12.895
69,train,4.9369,0.0116,15.06,4.6587,14.04,4409,45.8,12.813,12.643
70,train,5.6369,0.0025,22.61,5.3237,22.18,4486,46.3,20.886,20.870
71,train,5.2862,0.0010,19.59,5.1025,20.45,4159,46.9,16.617,16.569
72,train,4.6264,0.0234,15.32,4.3459,15.94,4185,47.5,12.238,12.199
73,train,4.5236,0.0730,12.04,4.3871,9.61,4316,48.1,10.521,10.427
74,train,4.2420,0.0882,9.05,4.1036,7.30,4738,48.7,7.279,7.249
75,train,5.1908,0.0131,19.07,4.9648,17.53,4489,49.2,16.487,16.469
76,train,4.7296,0.0242,14.18,4.5017,13.57,4345,49.8,11.366,11.359
77,train,4.6365,0.0090,14.51,4.3291,11.99,4113,50.4,9.934,9.928
78,train,4.6160,0.0225,11.64,4.4588,9.63,4491,51.0,8.630,8.593
79,train,4.9855,0.0041,15.93,4.7710,14.34,4154,51.6,11.012,10.947
80,train,4.6053,0.0172,14.16,4.3024,12.24,5122,52.1,11.329,11.284
81,train,5.1206,0.0081,16.89,4.9899,15.74,4440,52.7,12.239,12.222
82,train,5.1911,0.0116,16.86,5.0168,16.37,4930,53.3,14.502,14.469
83,train,5.0714,0.0047,16.41,4.8594,14.78,4703,53.9,15.639,15.570
84,train,5.4380,0.0070,17.55,5.4319,18.05,3578,54.5,13.765,13.753
85,train,4.7585,0.0115,15.58,4.4706,15.09,5112,55.0,14.443,14.416
86,train,5.3502,0.0043,18.11,5.0500,13.90,4402,55.6,15.663,15.536
87,train,4.5102,0.0441,11.94,4.1859,9.99,4284,56.2,9.948,9.910
88,train,4.5486,0.0288,12.04,4.2868,6.47,4024,56.8,10.747,10.673
89,train,4.8753,0.0155,14.75,4.6584,12.83,4888,57.4,12.009,11.903
90,train,4.3277,0.0342,14.21,4.0538,15.30,4123,57.9,10.211,10.155
91,train,4.5730,0.0182,12.49,4.5933,12.52,4278,58.5,10.526,10.427
92,train,5.2007,0.0154,18.64,4.9917,16.37,4019,59.1,15.264,15.187
93,train,5.1024,0.0019,16.38,5.0162,15.71,4681,59.7,14.066,14.002
94,train,5.0909,0.0110,15.53,4.9633,16.06,5085,60.3,13.490,13.432
95,train,5.6000,0.0011,19.32,5.2894,19.14,4487,60.8,16.083,16.043
96,train,4.6356,0.0519,12.46,4.4998,11.54,5006,61.4,12.032,12.008
97,train,5.0454,0.0118,17.62,4.9624,16.89,4667,62.0,14.891,14.873
98,train,5.4446,0.0068,19.69,5.2924,18.95,4830,62.6,15.652,15.632
99,train,4.6612,0.0020,14.49,4.4791,14.34,4047,63.2,12.471,12.421
100,train,4.7130,0.0377,12.63,4.5795,11.90,4375,63.8,9.266,9.032
101,train,4.8091,0.0098,15.13,4.5686,12.69,4994,64.3,13.108,13.093
102,train,5.0582,0.0170,15.97,4.8992,14.23,4482,64.9,14.390,14.359
103,train,4.8767,0.0239,14.73,4.6974,13.16,4149,65.5,13.471,13.449
104,train,3.9595,0.0948,7.93,3.7156,3.83,4692,66.1,5.684,5.609
105,train,5.1196,0.0015,16.02,5.1607,13.77,4117,66.7,15.665,15.650
106,train,4.6383,0.0062,13.54,4.5026,13.78,4483,67.2,12.075,12.049
107,train,5.1019,0.0026,18.94,4.8523,18.28,4266,67.8,15.456,15.448
108,train,4.3980,0.0468,10.49,4.0760,7.30,4015,68.4,7.128,7.100
109,train,5.6580,0.0027,19.44,5.3494,16.64,5225,69.0,17.506,17.460
110,train,4.8392,0.0068,13.03,4.6660,9.74,5127,69.6,11.867,11.842
111,train,4.7808,0.0240,15.31,4.6713,14.76,4202,70.1,13.319,13.280
112,train,4.7297,0.0151,14.36,4.6090,14.41,4500,70.7,12.293,12.280
113,train,4.6264,0.0266,13.26,4.3994,10.58,5445,71.3,12.171,12.146
114,train,4.5398,0.0305,13.39,4.1176,15.26,4265,71.9,10.483,10.463
115,train,4.9351,0.0053,16.45,4.7129,14.31,4162,72.5,14.981,14.928
116,train,5.6435,0.0113,19.05,5.5016,16.49,3986,73.1,16.461,16.454
117,train,4.7218,0.0070,13.71,4.6488,13.50,4314,73.6,10.822,10.783
118,train,4.8580,0.0258,15.79,4.7149,15.50,4542,74.2,13.659,13.653
119,train,4.6861,0.0372,13.18,4.3396,9.80,4597,74.8,11.829,11.823
120,train,4.8823,0.0047,14.53,4.8693,14.52,4507,75.4,12.645,12.590
