step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
1,train,7.5383,0.0029,14.91,7.1811,10.59,3856,5.3,9.930,9.914
2,train,8.2518,0.0000,29.61,7.9593,27.89,4246,5.9,21.066,20.917
3,train,7.6890,0.0014,21.48,7.4596,19.90,4273,6.4,16.227,16.102
4,train,8.0623,0.0002,26.59,7.9319,27.48,4728,7.0,22.431,22.295
5,train,7.6640,0.0000,23.56,7.5420,20.01,4845,7.6,21.108,21.004
6,train,6.9471,0.0020,15.92,6.8014,10.66,4571,8.2,11.939,11.712
7,train,7.0106,0.0012,16.87,6.8075,20.65,4247,8.8,13.545,13.093
8,train,6.9885,0.0005,17.12,6.8293,15.82,4279,9.4,13.053,13.047
9,train,6.8819,0.0002,16.32,6.7733,17.37,5216,9.9,12.849,12.830
10,train,7.0879,0.0005,16.83,6.9647,16.58,4322,10.5,14.557,14.547
11,train,6.8798,0.0024,18.51,6.6292,10.50,4127,11.1,10.207,10.193
12,train,9.1822,0.0005,25.63,8.0760,22.38,4014,11.7,13.855,13.808
13,train,15.4975,0.0039,30.78,12.4252,18.62,4412,12.3,14.010,13.942
14,train,6.4461,0.0190,13.41,6.2266,9.52,3850,12.9,10.094,10.041
15,train,7.4344,0.0002,17.85,7.2799,16.47,4607,13.4,16.988,16.977
16,train,7.3057,0.0008,20.56,7.1728,20.64,4716,14.0,18.433,18.416
17,train,7.0372,0.0002,18.22,7.0144,16.51,4371,14.6,15.532,15.521
18,train,6.6382,0.0101,15.63,6.5180,13.33,4453,15.2,13.280,13.229
19,train,6.6220,0.0042,14.66,6.5827,12.45,4528,15.8,11.365,11.328
20,train,7.1225,0.0004,20.17,7.0143,17.88,5465,16.4,17.356,17.339
21,train,7.0215,0.0008,16.57,6.9799,14.23,4861,16.9,16.622,16.571
22,train,6.7596,0.0090,16.54,6.6412,16.62,4663,17.5,15.604,15.571
23,train,7.2203,0.0038,20.22,7.0081,16.54,4434,18.1,17.939,17.880
24,train,6.6085,0.0038,14.45,6.4278,11.15,4219,18.7,11.759,11.713
25,train,6.8298,0.0002,17.14,6.8210,13.51,4343,19.3,14.807,14.717
26,train,6.4309,0.0020,14.79,6.2684,10.76,4450,19.9,10.336,10.270
27,train,6.2693,0.0046,11.45,6.1590,10.15,4614,20.5,8.758,8.720
28,train,6.5336,0.0007,14.07,6.4177,11.98,4502,21.1,12.172,12.151
29,train,6.8262,0.0005,16.91,6.6947,17.02,4283,21.6,15.037,15.015
30,train,7.2469,0.0002,18.34,7.0799,17.58,4584,22.2,16.836,16.802
31,train,6.3351,0.0033,13.43,6.1182,11.66,3938,22.8,10.922,10.798
32,train,6.5199,0.0018,15.49,6.5248,15.82,5587,23.4,14.556,14.527
33,train,6.7408,0.0023,15.55,6.5990,12.58,5288,24.0,13.545,13.506
34,train,7.0250,0.0004,18.68,6.9247,20.92,4555,24.6,16.632,16.596
35,train,6.6023,0.0000,16.27,6.3673,15.99,4242,25.2,14.587,14.552
36,train,7.2779,0.0008,17.62,7.2042,13.65,4763,25.7,16.769,16.738
37,train,6.9063,0.0018,16.64,6.9728,19.43,4497,26.3,15.879,15.851
38,train,6.6658,0.0012,17.22,6.3865,18.83,4004,26.9,15.170,15.124
39,train,6.8032,0.0004,16.69,6.7231,14.64,4882,27.5,15.839,15.822
40,train,5.9105,0.0041,9.31,5.7312,7.90,4613,28.1,5.874,5.795
41,train,6.2964,0.0032,11.97,6.3541,10.87,4317,28.7,10.108,10.087
42,train,6.6957,0.0017,15.87,6.5066,14.56,4083,29.3,14.090,13.893
43,train,6.6307,0.0002,16.83,6.4827,17.42,4842,29.9,15.769,15.681
44,train,6.5629,0.0101,16.54,6.3574,15.94,4847,30.4,14.628,14.567
45,train,6.8131,0.0066,17.38,6.6336,16.91,4374,31.0,15.198,15.109
46,train,6.6410,0.0071,15.38,6.4722,12.11,4770,31.6,13.325,13.311
47,train,6.3961,0.0015,13.74,6.1941,13.60,4536,32.2,12.301,12.244
48,train,7.2610,0.0002,20.36,7.0558,18.28,4299,32.8,18.572,18.522
49,train,7.0777,0.0075,19.15,6.8015,18.38,4533,33.4,16.797,16.769
50,train,6.8782,0.0002,17.81,6.6609,17.54,4102,34.0,16.191,16.143
51,train,7.0894,0.0000,18.47,6.9819,16.01,4139,34.6,17.430,17.416
52,train,6.3329,0.0011,14.76,6.0721,11.94,4528,35.1,13.004,12.965
53,train,6.3780,0.0020,13.50,6.2653,13.44,4482,35.7,12.368,12.323
54,train,6.2960,0.0007,14.26,6.0040,13.04,4272,36.3,11.522,11.492
55,train,5.8330,0.0100,11.71,5.5654,9.07,4822,36.9,9.235,9.115
56,train,6.6781,0.0006,15.39,6.3099,13.38,5138,37.5,13.497,13.440
57,train,6.1440,0.0013,12.83,5.8912,11.50,5328,38.1,10.591,10.556
58,train,6.8568,0.0015,19.00,6.6014,16.72,4088,38.7,16.455,16.440
59,train,6.4292,0.0031,14.67,6.3265,14.01,3863,39.3,13.578,13.554
60,train,6.8269,0.0000,17.38,6.6578,15.36,5438,39.9,16.359,16.327
61,train,6.0440,0.0067,11.87,5.8740,9.52,4896,40.4,10.369,10.329
62,train,7.0600,0.0002,18.41,7.1287,18.02,4712,41.0,16.874,16.818
63,train,6.8513,0.0008,15.92,6.5844,14.33,5222,41.6,13.331,13.280
64,train,6.4753,0.0013,14.44,6.2722,10.35,4698,42.2,13.287,13.256
65,train,6.9788,0.0009,16.30,6.9525,15.57,4227,42.8,15.325,15.317
66,train,5.9520,0.0012,11.69,5.7910,9.34,4854,43.4,9.006,8.986
67,train,6.3352,0.0027,14.02,6.0233,12.90,5215,44.0,13.634,13.598
68,train,6.7743,0.0002,18.20,6.6035,18.94,4559,44.6,16.719,16.697
69,train,6.8822,0.0014,16.88,6.6195,16.02,4409,45.1,15.344,15.297
70,train,6.8698,0.0000,19.25,6.7460,17.32,4486,45.7,19.169,19.141
71,train,7.0151,0.0005,18.12,6.7749,14.60,4159,46.3,16.876,16.848
72,train,6.1109,0.0002,12.22,5.9793,9.52,4185,46.9,10.136,10.040
73,train,6.3187,0.0051,12.99,6.2143,11.80,4316,47.5,11.158,11.093
74,train,5.9378,0.0038,10.89,5.9175,13.27,4738,48.1,9.586,9.499
75,train,6.7639,0.0033,18.03,6.6037,17.20,4489,48.7,16.455,16.425
76,train,6.5512,0.0048,15.70,6.2851,17.04,4345,49.2,14.953,14.919
77,train,6.1313,0.0046,12.96,5.9227,11.07,4113,49.8,10.256,10.243
