step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
1,train,7.5383,0.0029,14.91,7.1811,10.59,3856,6.7,9.930,9.914,112.955,119.012
2,train,8.2517,0.0000,29.61,7.9592,27.89,4246,7.3,21.062,20.912,227.199,237.010
3,train,7.6885,0.0014,21.50,7.4591,19.90,4273,7.9,16.247,16.089,165.705,171.997
4,train,8.0617,0.0002,26.65,7.9319,27.48,4728,8.5,22.439,22.305,220.811,213.363
5,train,7.6640,0.0000,23.63,7.5418,20.01,4845,9.1,21.135,21.026,188.290,188.943
6,train,6.9468,0.0020,15.94,6.8013,10.66,4571,9.7,11.915,11.709,142.378,127.377
7,train,7.0173,0.0012,16.90,6.8165,20.65,4247,10.3,13.598,13.129,135.441,134.959
8,train,6.9918,0.0007,17.13,6.8333,15.82,4279,10.9,13.058,13.046,133.216,137.194
9,train,6.8884,0.0000,16.32,6.7801,17.37,5216,11.5,12.898,12.881,114.639,130.224
10,train,7.0871,0.0002,16.86,6.9632,16.58,4322,12.0,14.634,14.623,128.148,135.386
11,train,6.8553,0.0019,16.67,6.6172,10.08,4127,12.6,10.619,10.608,164.031,132.727
12,train,14.2110,0.0000,44.93,12.7254,30.22,4014,13.2,19.336,19.305,363.598,358.891
13,train,37.9309,0.0007,45.32,16.8783,34.13,4412,13.8,12.077,12.019,305.500,361.916
14,train,6.5454,0.0288,12.94,6.3268,9.69,3850,14.4,9.883,9.862,94.612,103.675
15,train,7.3786,0.0002,19.86,7.2088,14.85,4607,15.0,16.674,16.658,159.343,158.645
16,train,7.3262,0.0004,21.93,7.1438,18.74,4716,15.6,18.153,18.139,153.843,174.717
17,train,7.4776,0.0002,24.99,7.4985,15.90,4371,16.2,15.426,15.422,168.667,199.390
18,train,7.0700,0.0056,21.48,6.9223,13.33,4453,16.7,13.712,13.704,156.545,171.244
19,train,7.0754,0.0013,22.48,6.9779,16.55,4528,17.3,11.862,11.635,157.249,179.462
20,train,7.3396,0.0031,23.94,7.2343,18.12,5465,17.9,17.799,17.779,160.151,191.486
21,train,7.3868,0.0016,21.20,7.3202,17.44,4861,18.5,17.042,17.024,156.827,169.369
22,train,7.0797,0.0056,19.65,6.9294,17.68,4663,19.1,16.601,16.544,136.198,157.604
23,train,7.3519,0.0043,23.71,7.1818,20.43,4434,19.7,18.798,18.765,173.404,189.204
24,train,6.9430,0.0014,19.79,6.7559,18.89,4219,20.3,13.522,13.473,142.967,158.470
25,train,6.9145,0.0021,20.72,6.8465,23.14,4343,20.9,15.073,14.787,162.768,165.490
26,train,6.6681,0.0072,17.31,6.5805,15.02,4450,21.5,9.685,9.600,148.581,137.888
27,train,6.5883,0.0013,13.01,6.4965,10.07,4614,22.0,7.910,7.831,112.528,103.565
28,train,6.8397,0.0004,17.30,6.7165,18.49,4502,22.6,13.437,13.385,128.432,138.229
29,train,6.8279,0.0019,16.42,6.6574,18.71,4283,23.2,13.636,13.551,148.802,131.024
30,train,7.0499,0.0002,16.67,6.9423,15.71,4584,23.8,15.599,15.550,149.545,132.645
31,train,6.4863,0.0058,12.87,6.3263,8.39,3938,24.4,10.732,10.522,106.253,102.694
32,train,6.5902,0.0082,16.40,6.5524,15.83,5587,25.0,14.053,14.021,152.283,130.816
33,train,6.9603,0.0002,15.91,6.8465,11.88,5288,25.6,13.576,13.534,123.802,126.207
34,train,7.0230,0.0007,17.58,6.8542,18.96,4555,26.2,16.539,16.411,124.581,140.591
35,train,6.7366,0.0012,15.49,6.5153,11.60,4242,26.7,14.930,14.887,113.977,123.531
36,train,7.2052,0.0002,18.82,7.1264,19.80,4763,27.3,16.893,16.786,164.653,151.152
37,train,6.7562,0.0049,14.84,6.7870,14.96,4497,27.9,14.302,14.290,114.292,118.411
38,train,6.5817,0.0032,15.58,6.2781,15.62,4004,28.5,12.988,12.847,116.424,124.431
39,train,6.9284,0.0002,16.83,6.8851,14.95,4882,29.1,15.868,15.831,119.393,134.091
40,train,6.1047,0.0091,9.35,5.9572,8.10,4613,29.7,5.620,4.780,87.743,74.181
41,train,6.4490,0.0009,12.84,6.4901,14.60,4317,30.3,10.930,10.859,107.682,102.069
42,train,6.5862,0.0017,15.51,6.3962,15.57,4083,30.9,13.825,13.440,112.879,124.264
43,train,6.6771,0.0000,16.70,6.5604,15.61,4842,31.5,15.720,15.540,133.511,133.632
