step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
1,train,6.6615,0.0054,33.12,6.3830,32.56,4658,7.6,24.022,23.988
2,train,6.4717,0.0057,23.62,6.2154,23.96,4581,8.1,19.793,19.668
3,train,6.2289,0.0086,23.39,5.8258,19.95,4511,8.7,14.258,14.168
4,train,6.4760,0.0076,24.06,6.1109,22.61,5010,9.3,16.986,16.910
5,train,6.4070,0.0018,29.04,6.2626,27.91,4346,9.9,21.246,21.083
6,train,6.6870,0.0072,25.99,6.5575,28.08,4301,10.5,21.601,21.518
7,train,6.1304,0.0136,23.81,5.9578,26.15,4777,11.0,16.362,16.208
8,train,6.5375,0.0026,26.76,6.3399,28.76,4210,11.6,14.036,13.931
9,train,6.3174,0.0084,24.66,6.0197,18.94,4501,12.2,18.184,18.077
10,train,6.0410,0.0030,19.62,5.8553,18.00,4265,12.8,16.344,16.321
11,train,6.5283,0.0054,23.47,6.2922,20.32,4240,13.4,18.324,18.256
12,train,5.8178,0.0103,18.68,5.5227,15.31,4835,13.9,12.869,12.680
13,train,5.7172,0.0130,19.36,5.4663,12.90,4988,14.5,11.605,11.557
14,train,6.1022,0.0064,21.23,5.7505,15.65,4546,15.1,9.160,8.966
15,train,6.4700,0.0025,27.95,6.1617,18.92,3989,15.7,16.963,16.914
16,train,6.5438,0.0063,26.70,6.4519,21.05,4948,16.3,21.970,21.927
17,train,6.1163,0.0042,24.12,5.9082,18.68,5908,16.8,17.069,16.999
18,train,6.5085,0.0041,26.68,6.3288,27.50,4187,17.4,19.013,18.955
19,train,6.4266,0.0040,24.83,6.1901,22.34,4723,18.0,18.823,18.798
20,train,5.8620,0.0038,21.58,5.6208,15.97,4224,18.6,16.232,16.173
21,train,6.1960,0.0146,24.61,5.9540,20.20,5007,19.2,16.822,16.508
22,train,6.4042,0.0007,24.98,6.1133,25.51,4264,19.7,17.029,16.994
23,train,5.7593,0.0223,19.97,5.3983,17.21,4842,20.3,12.858,12.801
24,train,5.7079,0.0256,18.40,5.5277,10.26,5082,20.9,12.825,12.788
25,train,6.4567,0.0007,24.10,6.1894,15.57,4470,21.5,13.319,13.269
26,train,5.9928,0.0126,19.79,5.9685,14.15,4130,22.1,15.999,15.860
27,train,5.8310,0.0188,18.16,5.7459,13.34,5200,22.7,14.518,14.437
28,train,5.6332,0.0304,22.11,5.4471,17.39,4806,23.2,14.904,14.838
29,train,5.6106,0.0090,22.92,5.3442,13.34,4459,23.8,16.703,16.681
30,train,5.7734,0.0049,18.59,5.5125,14.08,4283,24.4,11.159,11.036
31,train,5.9241,0.0091,20.89,5.6310,18.01,4055,25.0,16.847,16.758
32,train,6.3602,0.0013,25.07,6.0893,22.72,4545,25.6,21.354,21.337
33,train,5.2674,0.0097,15.76,4.9367,14.85,5150,26.1,9.771,9.473
34,train,5.6980,0.0049,17.91,5.4316,17.31,4121,26.7,14.120,13.757
35,train,6.0012,0.0171,21.66,5.8116,17.83,3802,27.3,18.738,18.624
36,train,6.2168,0.0047,18.86,5.9791,16.99,5146,27.9,12.449,12.279
37,train,6.1350,0.0032,21.81,5.9682,22.33,4991,28.5,18.929,18.847
38,train,5.2564,0.0114,16.56,4.8295,13.71,4912,29.0,11.002,10.985
39,train,5.1724,0.0284,16.05,5.0002,15.08,4115,29.6,12.870,12.777
40,train,6.0600,0.0088,21.75,5.9107,20.28,4416,30.2,16.828,16.819
41,train,5.3564,0.0171,16.54,5.1553,14.16,4222,30.8,12.346,12.143
42,train,5.2883,0.0064,13.64,4.9983,11.73,5345,31.4,9.177,8.796
43,train,5.8888,0.0022,21.87,5.7697,18.47,5410,31.9,19.116,19.021
44,train,5.7520,0.0060,21.57,5.4158,22.49,4688,32.5,17.762,17.741
45,train,5.6221,0.0062,19.04,5.3046,16.38,4384,33.1,14.264,14.250
46,train,6.3323,0.0006,21.18,6.1763,19.83,4819,33.7,19.199,19.179
47,train,5.2369,0.0140,14.34,5.0366,16.69,3990,34.3,10.619,10.511
48,train,6.0561,0.0142,20.54,5.7969,19.15,4160,34.8,18.492,18.444
49,train,5.5979,0.0048,17.11,5.3736,13.46,4620,35.4,11.458,11.214
50,train,5.7716,0.0171,18.61,5.4826,15.92,3968,36.0,14.768,14.600
51,train,5.4782,0.0078,16.00,5.2543,15.83,4465,36.6,13.487,13.477
52,train,5.8355,0.0013,17.50,5.5683,15.50,4604,37.2,13.139,13.059
53,train,5.4924,0.0032,18.22,5.1935,15.53,4351,37.7,15.512,15.468
54,train,5.4381,0.0106,18.09,5.0705,17.73,4726,38.3,12.723,12.689
55,train,5.4117,0.0059,17.05,5.2502,15.80,4396,38.9,11.931,11.898
56,train,5.6286,0.0081,15.55,5.4960,15.94,4943,39.5,12.542,12.537
57,train,5.2636,0.0135,15.10,4.8610,15.63,4535,40.0,10.115,10.034
58,train,5.2391,0.0312,16.08,4.8254,14.19,4555,40.6,12.431,12.322
59,train,5.9205,0.0166,20.23,5.8179,21.63,4642,41.2,17.694,17.530
60,train,5.8307,0.0060,19.67,5.5255,16.68,4355,41.8,15.668,15.601
61,train,5.6109,0.0150,18.58,5.3621,13.33,4320,42.4,17.254,17.213
62,train,4.9596,0.0273,14.27,4.5961,10.00,4760,43.0,10.420,10.414
63,train,6.1033,0.0018,21.74,6.0085,22.53,3809,43.5,17.983,17.957
64,train,5.3194,0.0356,15.67,5.1277,13.02,4550,44.1,13.601,13.586
65,train,5.7397,0.0174,17.33,5.4697,16.78,4260,44.7,13.533,13.473
66,train,5.0318,0.0093,13.88,4.8776,11.24,4509,45.3,10.273,10.213
67,train,5.6114,0.0045,18.77,5.4102,15.45,4216,45.9,15.963,15.876
68,train,5.4469,0.0165,19.81,5.1025,21.66,4192,46.4,17.787,17.661
69,train,5.8654,0.0004,23.37,5.6389,19.30,4811,47.0,20.720,20.651
70,train,5.0978,0.0457,16.14,4.9551,16.09,4640,47.6,14.170,14.056
71,train,4.8452,0.0189,13.65,4.6058,10.46,4713,48.2,11.497,11.357
72,train,5.2492,0.0071,17.48,5.0611,15.76,4532,48.8,14.850,14.725
73,train,5.3360,0.0068,18.25,5.1174,13.31,4272,49.3,13.577,13.412
74,train,5.5704,0.0245,17.65,5.3500,13.76,4572,49.9,15.769,15.693
75,train,5.2339,0.0089,16.44,4.9552,12.13,4695,50.5,11.360,11.297
76,train,5.5265,0.0061,18.44,5.2650,18.93,4242,51.1,14.233,14.168
77,train,5.6566,0.0040,17.98,5.6197,16.18,4004,51.7,15.860,15.818
78,train,5.0525,0.0232,14.91,4.7697,14.46,4618,52.2,12.624,12.605
79,train,5.6965,0.0176,18.71,5.5380,17.42,4087,52.8,17.459,17.370
80,train,5.4261,0.0011,18.48,5.1515,17.44,4407,53.4,16.257,16.191
81,train,4.8477,0.0506,14.18,4.5787,13.76,4345,54.0,11.885,11.826
82,train,5.4936,0.0094,18.25,5.2994,17.46,4695,54.5,15.193,15.108
83,train,5.5003,0.0298,17.79,5.0328,16.23,5703,55.1,14.174,14.079
84,train,5.1213,0.0194,16.17,4.7346,11.60,4062,55.7,12.998,12.864
85,train,5.3779,0.0015,16.48,5.1307,15.09,4647,56.3,13.119,13.077
86,train,4.6159,0.0220,13.20,4.3978,10.41,4366,56.9,8.739,8.577
87,train,5.4858,0.0216,18.13,5.1558,13.72,5082,57.5,14.935,14.780
88,train,6.2636,0.0014,22.75,6.1112,20.08,4264,58.0,20.990,20.904
89,train,5.6799,0.0098,17.47,5.3839,16.32,5695,58.6,13.770,13.672
90,train,4.9544,0.0146,15.33,4.5865,10.45,4739,59.2,11.674,11.635
91,train,5.0328,0.0189,15.61,4.7296,13.52,5675,59.8,12.002,11.926
92,train,5.2272,0.0216,16.90,4.8558,16.04,5002,60.4,15.015,14.961
93,train,5.0275,0.0179,15.93,4.7833,14.14,4304,60.9,12.533,12.505
94,train,5.2165,0.0498,14.64,4.7366,10.31,4400,61.5,12.200,12.092
95,train,5.0247,0.0036,16.29,4.7608,13.23,4129,62.1,13.209,13.093
96,train,5.1629,0.0093,15.66,5.0141,16.30,4313,62.7,12.414,12.164
97,train,5.4145,0.0039,16.76,5.2249,18.59,4365,63.3,14.232,14.183
98,train,5.1267,0.0201,16.52,4.8295,12.61,3930,63.8,14.676,14.599
99,train,4.9415,0.0228,14.16,4.7023,11.77,4432,64.4,10.065,10.020
100,train,5.3149,0.0072,19.07,5.1304,19.48,4297,65.0,15.511,15.481
101,train,5.0173,0.0157,14.92,4.6610,12.30,5039,65.6,10.576,10.406
102,train,5.6531,0.0016,18.24,5.1683,15.88,4279,66.2,15.444,15.336
103,train,5.1010,0.0026,16.14,5.0059,13.42,4676,66.7,13.926,13.895
104,train,5.0140,0.0144,14.14,4.6448,10.65,4728,67.3,9.287,9.242
105,train,5.0644,0.0230,16.05,4.8465,15.00,4177,67.9,12.410,12.398
106,train,5.3562,0.0074,17.37,5.0852,13.77,4596,68.5,12.994,12.798
107,train,4.8414,0.0096,14.96,4.5599,11.29,4354,69.1,10.721,10.631
108,train,5.1012,0.0073,16.44,4.8123,15.88,4388,69.6,11.979,11.941
109,train,4.9501,0.0213,14.71,4.6941,15.03,4966,70.2,12.288,12.165
110,train,5.5015,0.0016,19.36,5.1797,19.34,3795,70.8,16.328,16.316
111,train,5.4165,0.0053,20.94,4.9881,24.34,4131,71.4,17.837,17.779
112,train,5.3764,0.0064,17.68,5.0921,18.12,4356,71.9,15.419,15.405
113,train,5.3879,0.0059,18.54,5.2898,13.75,4217,72.5,15.413,15.397
