step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
1,train,7.7604,0.0013,13.71,7.5478,13.06,8281,6.1,7.784,7.319,nan,nan
2,train,7.2503,0.0065,18.45,6.9812,14.78,7029,6.8,15.483,15.406,nan,nan
3,train,8.2423,0.0002,20.59,8.0506,18.74,8578,7.6,18.079,17.841,nan,nan
4,train,6.7560,0.0058,12.36,6.7625,9.47,8284,8.3,12.577,12.413,nan,nan
5,train,7.5102,0.0007,26.36,7.3871,27.53,8741,9.1,17.446,17.361,nan,nan
6,train,7.1266,0.0006,16.21,6.9570,13.06,8384,9.8,14.385,14.287,nan,nan
7,train,7.4854,0.0002,23.14,7.4470,18.61,9075,10.6,17.869,17.853,nan,nan
8,train,8.6604,0.0003,49.35,8.2879,51.08,9777,11.3,34.036,34.025,nan,nan
9,train,7.2898,0.0005,27.89,7.2768,27.04,9632,12.1,16.879,16.861,nan,nan
10,train,7.5292,0.0001,20.82,7.4676,18.80,9603,12.8,19.468,19.422,nan,nan
11,train,6.5244,0.0021,14.36,6.3686,15.27,7572,13.6,8.203,8.121,nan,nan
12,train,7.0932,0.0001,17.94,7.1100,16.38,10669,14.3,16.824,16.661,nan,nan
13,train,7.0655,0.0008,18.65,6.9473,20.00,8892,15.1,14.466,13.393,nan,nan
14,train,6.9559,0.0000,18.86,6.5435,17.13,8037,15.8,15.899,15.793,nan,nan
15,train,7.0798,0.0001,15.00,6.9535,11.74,8377,16.5,14.606,14.392,nan,nan
16,train,6.6821,0.0014,13.24,6.4953,8.08,8596,17.3,12.817,12.694,nan,nan
17,train,6.8114,0.0003,13.62,6.8004,17.14,9255,18.0,11.719,11.586,nan,nan
18,train,6.9099,0.0001,16.38,6.7935,17.07,11588,18.8,13.430,13.371,nan,nan
19,train,7.1404,0.0000,14.93,7.0695,14.57,9476,19.5,14.703,14.630,nan,nan
20,train,6.8519,0.0004,15.21,6.8251,13.96,7782,20.3,11.882,11.836,nan,nan
21,train,6.5281,0.0003,14.97,6.3914,18.11,7967,21.0,12.185,12.160,nan,nan
22,train,6.8440,0.0000,19.03,6.7430,19.60,8489,21.8,17.331,17.282,nan,nan
23,train,6.3785,0.0004,11.45,6.2994,9.31,7069,22.5,8.910,8.760,nan,nan
24,train,7.6478,0.0001,23.24,7.6227,20.78,8848,23.3,22.030,21.989,nan,nan
25,train,6.8934,0.0001,20.09,6.8034,21.30,8512,24.0,18.738,18.691,nan,nan
26,train,6.1793,0.0069,13.86,5.8590,12.21,8968,24.7,10.150,10.051,nan,nan
27,train,5.8384,0.0055,10.78,5.7540,10.07,6892,25.5,9.229,9.095,nan,nan
28,train,6.0484,0.0008,10.48,5.7703,9.10,8419,26.2,9.461,9.322,nan,nan
29,train,6.8452,0.0007,15.83,6.7235,13.45,8543,27.0,13.980,13.831,nan,nan
30,train,7.9009,0.0001,20.33,7.9390,18.93,9875,27.7,20.766,20.669,nan,nan
31,train,6.5848,0.0005,19.76,6.3429,19.24,10227,28.5,17.373,17.307,nan,nan
32,train,6.9781,0.0001,17.09,6.9123,16.41,8521,29.2,16.337,16.288,nan,nan
33,train,5.9870,0.0025,8.95,5.9199,6.41,8726,30.0,6.732,6.230,nan,nan
34,train,6.7582,0.0000,16.03,6.7733,15.87,8722,30.7,15.324,15.251,nan,nan
35,train,6.1516,0.0003,11.56,5.9435,9.12,8951,31.5,8.654,8.437,nan,nan
36,train,6.4676,0.0001,17.42,6.3959,15.70,8956,32.2,15.862,15.728,nan,nan
37,train,6.1041,0.0054,12.91,5.9905,12.15,8263,33.0,12.088,11.962,nan,nan
38,train,6.5653,0.0007,16.30,6.7209,14.82,9755,33.7,14.755,14.520,nan,nan
39,train,6.9822,0.0001,18.63,6.8462,19.23,10078,34.5,17.329,17.281,nan,nan
40,train,6.6453,0.0002,16.75,6.5814,16.06,11767,35.2,15.374,15.263,nan,nan
41,train,6.4679,0.0004,16.39,6.3152,13.89,11317,36.0,13.942,13.879,nan,nan
42,train,6.7421,0.0007,17.54,6.6514,17.64,8126,36.7,15.401,15.323,nan,nan
43,train,6.7372,0.0001,16.04,6.5434,16.16,8386,37.5,16.662,16.644,nan,nan
44,train,6.5733,0.0007,15.43,6.3880,15.87,10154,38.2,15.557,15.491,nan,nan
45,train,6.4253,0.0000,18.23,6.1739,16.29,8472,38.9,15.899,15.892,nan,nan
46,train,6.9811,0.0014,18.75,6.8305,15.04,9203,39.7,17.911,17.876,nan,nan
47,train,5.8987,0.0051,9.95,5.7994,7.50,8620,40.4,8.545,8.491,nan,nan
48,train,7.3274,0.0000,18.07,7.1382,16.71,8126,41.2,18.705,18.649,nan,nan
49,train,6.0580,0.0009,13.62,5.8337,14.05,8714,41.9,10.942,10.888,nan,nan
50,train,7.0488,0.0001,20.14,6.8360,17.82,8670,42.7,19.091,19.005,nan,nan
51,train,5.8031,0.0135,9.04,5.4956,6.77,8466,43.4,3.745,3.545,nan,nan
52,train,6.9169,0.0002,15.63,6.7695,12.62,9390,44.2,15.624,15.569,nan,nan
53,train,5.4163,0.0124,6.67,5.1864,3.65,9683,44.9,5.413,4.795,nan,nan
54,train,6.3230,0.0003,12.87,6.0891,11.19,8678,45.7,13.203,13.052,nan,nan
55,train,6.5767,0.0000,14.90,6.4909,14.37,8253,46.4,14.559,14.511,nan,nan
56,train,6.0035,0.0010,11.53,5.8358,10.88,9682,47.2,9.303,9.230,nan,nan
