step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
1,train,8.3017,0.0000,31.15,8.0258,30.20,4778,8.6,24.564,24.525,nan,nan
2,train,7.3230,0.0033,28.13,7.0072,22.39,4490,9.2,21.280,21.239,nan,nan
3,train,7.1119,0.0015,21.52,6.8844,23.67,4771,9.8,14.433,14.369,nan,nan
4,train,6.8379,0.0029,19.63,6.6682,22.34,4422,10.4,14.331,14.198,nan,nan
5,train,6.9285,0.0013,19.20,6.6686,16.68,4624,10.9,14.447,14.339,nan,nan
6,train,7.1188,0.0004,18.98,6.9192,18.05,4528,11.5,14.569,14.441,nan,nan
7,train,6.8032,0.0029,17.68,6.5675,13.93,4530,12.1,13.553,13.097,nan,nan
8,train,7.0222,0.0009,17.69,6.7118,14.29,4418,12.7,15.789,15.710,nan,nan
9,train,7.0048,0.0013,20.01,6.8249,21.33,4478,13.3,15.713,15.607,nan,nan
10,train,7.2342,0.0006,23.03,6.9684,18.80,5102,13.9,16.809,16.616,nan,nan
11,train,7.1083,0.0028,27.87,6.7346,21.76,4656,14.4,18.766,18.622,nan,nan
12,train,6.9845,0.0006,21.33,6.7548,16.64,5057,15.0,13.270,12.939,nan,nan
13,train,6.7421,0.0048,20.17,6.4363,14.62,5012,15.6,11.930,11.782,nan,nan
14,train,6.4614,0.0017,16.57,6.2427,13.88,4181,16.2,9.096,8.903,nan,nan
15,train,6.5555,0.0077,18.86,6.2354,13.47,4161,16.8,16.170,16.105,nan,nan
16,train,6.5460,0.0009,20.60,6.0890,21.08,4627,17.4,14.952,14.863,nan,nan
17,train,6.9215,0.0006,20.02,6.6416,17.64,4849,17.9,15.034,14.924,nan,nan
18,train,7.0804,0.0014,21.41,6.8044,17.22,5071,18.5,18.967,18.924,nan,nan
19,train,6.7031,0.0002,18.39,6.4753,15.58,4463,19.1,14.338,14.300,nan,nan
20,train,6.8248,0.0006,18.84,6.0084,13.10,4699,19.7,13.418,13.393,nan,nan
21,train,6.4544,0.0011,16.29,6.2432,14.39,4446,20.3,12.693,12.663,nan,nan
22,train,6.9445,0.0004,19.23,6.5303,16.53,4790,20.8,15.908,15.873,nan,nan
23,train,7.0325,0.0031,20.98,6.8065,21.12,4828,21.4,18.114,18.066,nan,nan
24,train,6.3140,0.0096,13.70,6.0157,11.97,4889,22.0,10.917,10.870,nan,nan
25,train,6.5691,0.0036,15.67,6.2368,14.96,4691,22.6,12.252,12.202,nan,nan
26,train,6.2568,0.0038,14.89,5.9614,9.90,5472,23.2,11.449,11.379,nan,nan
27,train,6.6787,0.0010,17.36,6.4348,14.15,5222,23.8,14.456,14.383,nan,nan
28,train,6.7487,0.0005,16.85,6.4331,13.12,4335,24.3,14.220,14.142,nan,nan
29,train,7.0183,0.0000,20.74,6.8280,18.95,5281,24.9,18.247,18.195,nan,nan
30,train,6.0457,0.0074,12.19,5.8567,10.43,5129,25.5,8.981,8.889,nan,nan
31,train,6.4317,0.0018,14.21,6.2135,13.09,4873,26.1,11.654,11.578,nan,nan
32,train,7.1379,0.0004,21.30,7.0180,19.19,5107,26.7,18.294,18.240,nan,nan
33,train,6.2426,0.0490,14.83,6.0134,11.10,5005,27.3,11.096,11.082,nan,nan
34,train,7.1068,0.0000,21.45,6.8726,17.38,4758,27.8,18.442,18.414,nan,nan
35,train,6.4570,0.0024,15.25,6.2358,15.05,4905,28.4,12.733,12.718,nan,nan
36,train,6.7963,0.0002,15.97,6.8733,13.95,4902,29.0,13.249,13.240,nan,nan
37,train,6.9805,0.0006,17.33,6.9281,16.68,4634,29.6,16.530,16.489,nan,nan
38,train,6.3963,0.0045,13.99,6.3436,13.16,4913,30.2,9.056,9.042,nan,nan
39,train,6.4844,0.0018,14.80,6.2975,13.60,4463,30.8,11.135,11.127,nan,nan
40,train,6.3751,0.0027,14.54,6.1632,14.35,4420,31.3,10.878,10.779,nan,nan
41,train,6.3057,0.0021,15.37,6.0684,15.88,4699,31.9,12.237,12.164,nan,nan
42,train,6.1024,0.0227,12.13,5.9223,11.84,5014,32.5,9.369,9.208,nan,nan
43,train,7.0577,0.0021,20.00,6.8651,20.64,5181,33.1,18.053,18.024,nan,nan
44,train,6.7419,0.0018,15.81,6.4574,13.11,4440,33.7,16.562,16.529,nan,nan
45,train,6.7308,0.0012,16.67,6.6158,12.84,4289,34.2,15.266,15.240,nan,nan
46,train,6.0296,0.0092,11.29,5.7478,9.18,4690,34.8,10.036,9.965,nan,nan
47,train,6.2715,0.0021,12.95,6.1162,12.63,5236,35.4,9.770,9.747,nan,nan
48,train,7.1968,0.0004,23.91,7.1675,24.10,4954,36.0,20.663,20.602,nan,nan
49,train,6.4506,0.0007,15.07,6.2746,16.31,4263,36.6,12.953,12.900,nan,nan
50,train,6.5991,0.0057,16.67,6.4246,16.63,4522,37.2,15.942,15.862,nan,nan
51,train,6.0424,0.0054,14.17,5.7831,13.17,4801,37.7,9.621,9.539,nan,nan
52,train,6.4720,0.0009,16.47,6.3753,15.54,4557,38.3,14.176,14.146,nan,nan
53,train,6.3693,0.0310,16.73,6.3317,16.91,5328,38.9,14.403,14.397,nan,nan
54,train,6.6407,0.0002,17.10,6.4301,15.96,5140,39.5,14.208,14.191,nan,nan
55,train,6.0242,0.0179,13.27,5.6886,13.65,4409,40.1,12.230,12.192,nan,nan
56,train,6.3132,0.0025,14.40,6.1609,13.56,4776,40.6,10.410,10.260,nan,nan
57,train,6.3021,0.0000,18.08,6.1506,18.32,4679,41.2,14.401,14.371,nan,nan
58,train,6.5062,0.0010,15.00,6.2969,14.66,4971,41.8,12.432,12.398,nan,nan
59,train,6.1631,0.0180,13.04,5.8337,10.43,4995,42.4,11.171,11.126,nan,nan
60,train,6.5748,0.0006,18.46,6.4827,17.67,5059,43.0,15.210,15.185,nan,nan
61,train,6.6756,0.0021,18.29,6.6193,16.92,5229,43.6,16.009,15.982,nan,nan
62,train,6.7463,0.0009,17.66,6.5393,16.20,4584,44.1,16.605,16.587,nan,nan
63,train,5.9537,0.0012,13.47,5.6247,11.26,4831,44.7,9.562,9.495,nan,nan
64,train,6.5299,0.0000,17.13,6.3637,22.02,4744,45.3,13.560,13.507,nan,nan
65,train,6.1377,0.0026,15.25,5.9942,12.45,4307,45.9,12.886,12.866,nan,nan
66,train,6.7170,0.0005,16.86,6.4642,17.57,4432,46.5,15.603,15.590,nan,nan
67,train,6.3877,0.0027,16.33,6.1703,10.71,5138,47.1,12.898,12.885,nan,nan
68,train,6.5050,0.0004,16.82,6.3370,15.09,5177,47.6,14.245,14.231,nan,nan
69,train,6.2065,0.0035,12.82,6.0013,10.22,4511,48.2,8.577,8.557,nan,nan
70,train,6.4409,0.0015,17.72,6.2603,16.28,4631,48.8,13.031,12.986,nan,nan
71,train,6.5298,0.0067,16.87,6.4467,15.15,4769,49.4,14.131,14.115,nan,nan
72,train,6.6109,0.0004,15.16,6.5144,15.11,4583,50.0,14.070,14.062,nan,nan
73,train,6.3353,0.0011,14.94,6.1226,12.56,5291,50.6,12.723,12.714,nan,nan
74,train,6.1724,0.0070,15.89,5.9248,13.80,5413,51.1,13.673,13.651,nan,nan
75,train,6.1417,0.0041,13.83,5.9672,12.83,4649,51.7,11.068,11.041,nan,nan
76,train,6.4480,0.0057,15.85,6.3958,12.41,4396,52.3,13.376,13.335,nan,nan
77,train,6.8704,0.0002,19.12,6.5652,19.32,4717,52.9,14.569,14.533,nan,nan
78,train,6.3085,0.0018,16.65,6.1553,16.87,4920,53.5,13.938,13.933,nan,nan
79,train,5.8331,0.0022,10.78,5.7140,10.00,4129,54.1,9.001,8.990,nan,nan
80,train,6.4276,0.0074,17.94,6.2905,18.84,4346,54.6,15.872,15.830,nan,nan
81,train,6.0388,0.0123,12.58,5.6621,11.87,4243,55.2,11.364,11.354,nan,nan
82,train,6.8349,0.0014,18.82,6.8310,18.79,4953,55.8,17.697,17.690,nan,nan
83,train,6.2346,0.0025,13.85,6.1957,13.78,5593,56.4,12.521,12.474,nan,nan
84,train,6.1722,0.0071,15.73,5.9297,13.92,5177,57.0,12.582,12.530,nan,nan
85,train,5.9680,0.0019,13.08,5.7216,12.39,4285,57.5,10.359,10.274,nan,nan
86,train,5.7592,0.0057,11.57,5.6123,6.70,4707,58.1,10.329,10.301,nan,nan
87,train,6.7117,0.0000,17.82,6.6978,18.83,4985,58.7,15.802,15.757,nan,nan
88,train,5.9306,0.0000,12.14,5.8594,12.57,4927,59.3,10.017,9.988,nan,nan
89,train,5.9109,0.0087,12.89,5.7961,10.89,4380,59.9,11.354,11.322,nan,nan
90,train,5.9620,0.0013,11.73,5.7828,11.42,4783,60.5,9.455,9.399,nan,nan
91,train,5.8580,0.0155,11.20,5.6614,7.62,5685,61.0,7.162,7.024,nan,nan
92,train,6.0467,0.0023,13.06,5.8570,11.12,4779,61.6,10.861,10.829,nan,nan
93,train,6.4716,0.0008,15.62,6.2849,10.51,4911,62.2,15.071,15.029,nan,nan
94,train,6.2368,0.0002,14.98,6.1166,12.30,4798,62.8,14.510,14.500,nan,nan
95,train,6.1330,0.0012,13.54,5.9456,14.59,4024,63.4,11.945,11.907,nan,nan
96,train,5.7359,0.0105,10.99,5.5441,9.12,4740,63.9,8.399,8.355,nan,nan
97,train,5.9478,0.0580,10.66,5.7754,6.98,4757,64.5,9.244,9.208,nan,nan
98,train,5.7832,0.0035,10.56,5.7186,11.05,5201,65.1,6.553,6.307,nan,nan
99,train,5.8398,0.0014,11.15,5.7804,11.52,4878,65.7,9.670,9.616,nan,nan
100,train,5.9641,0.0022,13.76,5.6982,11.09,4953,66.3,12.490,12.324,nan,nan
101,train,5.6178,0.0106,9.86,5.2954,6.48,4795,66.9,7.408,7.369,nan,nan
102,train,6.4331,0.0020,16.62,6.3243,14.15,4988,67.4,12.829,12.812,nan,nan
103,train,6.5593,0.0030,20.28,6.2712,19.58,5003,68.0,16.548,16.528,nan,nan
104,train,6.4984,0.0011,18.67,6.1891,16.58,4617,68.6,15.465,15.446,nan,nan
105,train,5.9059,0.0082,11.61,5.7538,12.51,4654,69.2,9.265,9.241,nan,nan
106,train,6.1648,0.0023,14.54,5.8532,12.89,4690,69.8,13.060,13.045,nan,nan
107,train,5.9344,0.0031,11.66,5.8071,9.26,5090,70.4,11.033,10.979,nan,nan
108,train,6.1649,0.0031,13.81,6.0906,12.81,4564,70.9,12.097,12.076,nan,nan
109,train,6.2004,0.0022,18.29,5.9519,18.58,5031,71.5,15.885,15.866,nan,nan
110,train,6.2291,0.0013,15.19,6.0958,12.95,5420,72.1,13.741,13.725,nan,nan
111,train,5.9997,0.0016,12.73,5.7161,12.55,4894,72.7,11.791,11.769,nan,nan
112,train,6.2379,0.0002,15.56,6.1266,13.07,4487,73.3,13.826,13.803,nan,nan
113,train,6.0247,0.0026,13.64,5.8425,13.06,4593,73.9,12.087,12.077,nan,nan
114,train,5.7900,0.0010,10.71,5.6654,9.23,4085,74.4,9.381,9.371,nan,nan
115,train,5.6189,0.0151,10.06,5.3936,8.97,5312,75.0,8.027,7.990,nan,nan
116,train,5.9828,0.0156,11.58,5.6963,9.87,4562,75.6,11.022,10.968,nan,nan
117,train,5.8797,0.0011,12.29,5.6879,11.40,4582,76.2,10.881,10.874,nan,nan
118,train,5.8696,0.0059,12.73,5.6321,10.14,4936,76.8,9.989,9.942,nan,nan
119,train,5.6646,0.0101,10.70,5.4724,9.50,4141,77.4,6.955,6.938,nan,nan
120,train,5.8093,0.0035,12.64,5.4387,12.00,4807,77.9,8.937,8.826,nan,nan
121,train,6.7664,0.0006,18.19,6.6482,16.15,4856,78.5,15.836,15.823,nan,nan
122,train,6.3480,0.0002,16.21,6.2770,16.27,5006,79.1,13.458,13.451,nan,nan
123,train,5.6008,0.0183,11.22,5.4123,5.35,5179,79.7,9.818,9.809,nan,nan
124,train,5.9621,0.0055,11.75,5.9041,11.72,4953,80.3,11.635,11.586,nan,nan
125,train,5.9964,0.0015,12.19,5.7997,9.72,4715,80.9,10.234,10.195,nan,nan
126,train,6.3111,0.0026,14.54,6.0740,13.73,4310,81.4,12.469,12.458,nan,nan
127,train,5.9746,0.0061,12.44,5.7198,12.73,5105,82.0,11.501,11.489,nan,nan
128,train,5.8149,0.0052,10.88,5.7857,8.73,5759,82.6,8.392,8.332,nan,nan
129,train,5.7574,0.0058,12.48,5.3781,10.87,4984,83.2,8.247,8.225,nan,nan
130,train,6.0506,0.0000,14.84,5.8973,14.94,5044,83.8,12.467,12.452,nan,nan
131,train,6.4351,0.0011,16.08,6.2912,14.47,4425,84.4,13.758,13.741,nan,nan
132,train,6.1785,0.0010,12.71,6.0823,11.87,3927,84.9,10.476,10.434,nan,nan
133,train,6.2168,0.0028,14.31,5.9346,12.25,5311,85.5,11.208,11.193,nan,nan
134,train,6.1311,0.0063,13.77,6.0170,12.83,5271,86.1,12.724,12.716,nan,nan
135,train,5.8698,0.0046,13.20,5.6845,11.16,4793,86.7,10.795,10.762,nan,nan
136,train,6.0333,0.0013,13.35,5.8944,10.64,4617,87.3,9.514,9.452,nan,nan
137,train,5.9302,0.0011,13.30,5.7794,10.91,4501,87.8,10.028,9.913,nan,nan
138,train,5.6124,0.0020,10.23,5.4160,9.17,4892,88.4,8.834,8.824,nan,nan
