step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
1,train,7.6551,0.0002,21.01,7.1924,25.94,4153,4.7,16.634,16.486,nan,nan
2,train,7.5730,0.0004,20.68,7.0816,14.49,5036,5.2,14.578,14.476,nan,nan
3,train,7.3257,0.0000,23.38,6.9021,22.90,4003,5.8,17.661,17.621,nan,nan
4,train,7.5473,0.0000,35.09,7.2610,38.27,4640,6.4,24.850,24.698,nan,nan
5,train,7.4462,0.0021,25.69,6.9764,20.30,4335,7.0,12.896,12.842,nan,nan
6,train,8.7607,0.0000,49.14,8.4061,49.72,5293,7.6,29.015,28.909,nan,nan
7,train,8.3571,0.0000,51.79,8.0030,39.18,4763,8.1,21.836,21.508,nan,nan
8,train,8.1843,0.0000,66.54,7.5599,74.36,4689,8.7,22.931,22.893,nan,nan
9,train,7.8880,0.0004,54.16,7.3483,41.65,5145,9.3,10.395,10.352,nan,nan
10,train,7.9855,0.0000,56.68,7.4968,52.33,3919,9.9,15.537,15.478,nan,nan
11,train,7.7090,0.0002,54.94,7.3142,42.21,4784,10.5,15.667,15.598,nan,nan
12,train,7.5021,0.0041,44.94,7.1024,21.49,4847,11.1,13.210,12.955,nan,nan
13,train,7.6584,0.0000,34.88,7.3495,17.11,4224,11.6,17.721,17.639,nan,nan
14,train,7.9853,0.0000,38.19,7.7115,23.87,5104,12.2,21.802,21.726,nan,nan
15,train,7.0788,0.0058,20.85,6.8670,12.36,4789,12.8,11.263,11.025,nan,nan
16,train,6.4021,0.0157,13.18,6.1032,8.52,4525,13.4,9.273,9.065,nan,nan
17,train,6.9122,0.0070,19.03,6.6988,16.63,4717,14.0,13.659,13.315,nan,nan
18,train,6.9142,0.0004,18.00,6.8093,17.35,4598,14.6,14.854,14.772,nan,nan
19,train,7.2152,0.0002,20.25,7.1275,19.63,4327,15.1,16.959,16.857,nan,nan
20,train,7.1151,0.0002,14.94,6.9036,13.70,5458,15.7,14.316,14.185,nan,nan
21,train,6.7626,0.0012,14.77,6.6630,13.29,4273,16.3,12.373,12.237,nan,nan
22,train,6.7378,0.0037,14.58,6.6325,15.09,4307,16.9,12.290,12.167,nan,nan
23,train,7.2951,0.0005,18.28,7.3517,18.48,4275,17.5,17.674,17.592,nan,nan
24,train,6.6584,0.0093,16.14,6.4864,16.34,4954,18.0,15.439,15.334,nan,nan
25,train,6.5581,0.0012,16.19,6.3812,15.40,4984,18.6,13.861,13.706,nan,nan
26,train,6.1272,0.0043,12.28,5.8788,8.54,4374,19.2,10.892,10.548,nan,nan
27,train,6.1858,0.0062,12.06,5.9988,10.43,4389,19.8,10.519,10.428,nan,nan
28,train,6.5415,0.0004,14.21,6.3599,13.56,4810,20.4,9.533,9.245,nan,nan
29,train,6.6233,0.0057,15.78,6.4771,13.61,4357,21.0,14.065,13.351,nan,nan
30,train,7.0982,0.0006,19.24,6.8295,20.04,5124,21.5,18.094,17.949,nan,nan
31,train,5.9997,0.0023,12.38,5.7716,12.88,5136,22.1,8.794,8.384,nan,nan
32,train,6.4153,0.0034,16.59,6.2636,20.25,5555,22.7,14.450,14.356,nan,nan
33,train,6.7575,0.0006,19.10,6.5413,20.81,5148,23.3,16.156,16.116,nan,nan
34,train,7.1448,0.0002,18.26,6.9590,18.34,5029,23.9,17.298,17.225,nan,nan
35,train,7.0414,0.0004,21.91,7.0408,21.15,4503,24.5,21.473,21.437,nan,nan
36,train,6.5532,0.0000,19.09,6.3286,19.60,4929,25.0,16.591,16.558,nan,nan
37,train,7.0157,0.0002,19.09,6.8603,18.41,4747,25.6,17.322,17.276,nan,nan
38,train,6.7464,0.0037,17.07,6.6157,14.91,5080,26.2,14.619,14.564,nan,nan
39,train,6.7783,0.0042,15.44,6.7755,16.07,4961,26.8,13.165,13.153,nan,nan
40,train,6.7832,0.0000,14.92,6.6796,13.67,4377,27.4,12.729,12.650,nan,nan
41,train,7.2265,0.0003,16.73,7.2078,13.26,3998,28.0,15.117,15.105,nan,nan
42,train,6.9698,0.0025,17.26,7.0068,17.23,4419,28.5,18.355,18.223,nan,nan
43,train,6.3683,0.0044,15.75,6.2118,14.07,4330,29.1,13.295,13.201,nan,nan
44,train,5.7647,0.0238,9.44,5.5874,7.21,5208,29.7,8.548,8.193,nan,nan
45,train,6.4863,0.0304,15.51,6.2771,14.59,5394,30.3,10.965,10.842,nan,nan
46,train,6.0460,0.0116,11.95,5.8343,11.95,4465,30.9,9.305,9.128,nan,nan
47,train,6.2938,0.0039,12.63,6.1049,11.27,4378,31.4,10.110,9.884,nan,nan
48,train,6.4426,0.0013,18.00,6.2614,16.55,4605,32.0,14.100,14.067,nan,nan
49,train,6.6271,0.0026,14.37,6.4593,14.10,4309,32.6,11.943,11.872,nan,nan
50,train,6.5894,0.0000,17.81,6.4563,18.25,4636,33.2,17.350,17.337,nan,nan
51,train,6.5165,0.0012,17.44,6.4901,17.97,4113,33.8,13.299,13.193,nan,nan
52,train,6.3455,0.0011,13.52,6.2078,12.95,4595,34.4,11.093,11.077,nan,nan
53,train,6.7319,0.0000,18.54,6.6220,19.18,5050,34.9,15.247,15.235,nan,nan
54,train,6.4305,0.0012,11.82,6.2870,10.50,4830,35.5,9.114,8.735,nan,nan
55,train,6.6619,0.0025,13.94,6.4927,14.43,4474,36.1,11.476,11.401,nan,nan
56,train,7.0490,0.0006,18.57,7.0284,16.05,4786,36.7,18.152,18.115,nan,nan
57,train,6.9796,0.0000,17.55,6.9768,19.03,4063,37.3,14.805,14.694,nan,nan
58,train,6.5216,0.0017,15.21,6.4934,13.79,4663,37.9,14.415,14.253,nan,nan
59,train,6.6209,0.0012,16.80,6.4040,15.80,4215,38.4,14.043,14.023,nan,nan
60,train,6.7926,0.0004,17.74,6.6239,16.78,4641,39.0,17.412,17.399,nan,nan
61,train,6.1486,0.0031,10.34,6.0100,8.95,4829,39.6,7.904,7.893,nan,nan
62,train,6.3696,0.0007,12.97,6.2401,10.69,4265,40.2,11.513,11.411,nan,nan
63,train,6.3388,0.0034,15.22,6.2172,12.09,4652,40.8,12.790,12.749,nan,nan
64,train,6.1813,0.0071,14.21,5.9550,10.13,4675,41.3,10.805,10.783,nan,nan
65,train,6.4765,0.0000,15.61,6.2378,13.81,5313,41.9,13.336,13.316,nan,nan
66,train,5.7707,0.0236,10.64,5.7185,10.04,4413,42.5,7.819,7.709,nan,nan
67,train,6.5269,0.0004,14.15,6.4565,13.63,4936,43.1,12.993,12.988,nan,nan
68,train,7.1695,0.0002,19.41,7.0782,18.28,4677,43.7,18.216,18.198,nan,nan
69,train,7.0220,0.0002,19.97,6.9842,19.25,4781,44.3,17.415,17.411,nan,nan
70,train,6.2900,0.0005,13.76,6.0657,11.92,4146,44.9,11.144,11.125,nan,nan
71,train,6.7658,0.0004,18.97,6.7055,16.06,4500,45.4,17.475,17.461,nan,nan
72,train,6.3828,0.0030,16.10,6.3521,17.56,5247,46.0,14.141,14.117,nan,nan
73,train,5.8540,0.0028,12.15,5.5633,10.94,4245,46.6,10.323,10.306,nan,nan
74,train,6.2601,0.0066,14.86,6.0008,11.16,4963,47.2,13.996,13.970,nan,nan
75,train,7.2382,0.0000,17.34,7.1001,19.28,4428,47.8,16.334,16.296,nan,nan
76,train,6.1935,0.0019,13.45,6.0985,14.18,4857,48.3,11.132,11.116,nan,nan
77,train,6.1797,0.0017,17.66,5.9146,18.15,4658,48.9,14.149,14.117,nan,nan
78,train,5.9797,0.0018,14.07,5.8110,9.87,4329,49.5,12.216,12.124,nan,nan
79,train,5.7441,0.0074,11.07,5.4970,9.85,4034,50.1,9.429,9.402,nan,nan
80,train,6.2311,0.0033,12.95,6.0441,11.97,4534,50.7,10.726,10.691,nan,nan
81,train,6.7544,0.0002,17.68,6.6690,18.33,4422,51.2,16.087,16.079,nan,nan
82,train,6.4484,0.0042,15.45,6.2783,15.44,5278,51.8,12.851,12.823,nan,nan
83,train,6.0540,0.0041,14.25,5.7666,12.42,4145,52.4,12.262,12.235,nan,nan
84,train,6.3611,0.0069,15.60,6.2541,16.41,4081,53.0,14.020,13.977,nan,nan
85,train,5.9011,0.0034,14.43,5.6457,16.47,4970,53.6,12.313,12.295,nan,nan
86,train,6.1020,0.0019,16.36,5.9099,18.14,4718,54.2,15.262,15.252,nan,nan
87,train,6.1562,0.0036,15.60,6.0062,14.70,4412,54.7,12.999,12.989,nan,nan
88,train,6.6868,0.0011,16.97,6.4823,16.18,4635,55.3,13.717,13.687,nan,nan
89,train,6.6465,0.0099,15.89,6.6372,16.15,4525,55.9,13.422,13.414,nan,nan
90,train,6.1967,0.0002,12.79,6.1332,10.86,4396,56.5,12.580,12.575,nan,nan
91,train,6.4453,0.0015,15.11,6.2471,11.93,4090,57.1,13.430,13.405,nan,nan
92,train,6.4302,0.0014,15.47,6.2881,14.23,4979,57.6,13.180,13.154,nan,nan
93,train,6.4301,0.0124,16.17,6.3548,14.22,4683,58.2,14.404,14.401,nan,nan
94,train,5.9222,0.0013,11.18,5.7646,10.09,4567,58.8,7.241,7.228,nan,nan
95,train,5.9248,0.0027,12.14,5.7985,11.47,4848,59.4,9.280,9.269,nan,nan
96,train,5.7704,0.0020,11.97,5.6366,10.50,5016,60.0,10.617,10.582,nan,nan
97,train,6.4575,0.0002,16.96,6.2696,14.36,4084,60.6,13.289,13.269,nan,nan
98,train,5.8911,0.0044,10.27,5.6257,8.50,4332,61.1,7.224,7.218,nan,nan
99,train,7.0107,0.0002,18.98,6.8255,17.37,5456,61.7,18.436,18.423,nan,nan
100,train,6.7225,0.0021,19.09,6.5883,16.31,4315,62.3,18.262,18.260,nan,nan
101,train,6.0137,0.0110,11.77,5.7927,11.74,4008,62.9,9.762,9.738,nan,nan
102,train,6.1705,0.0042,12.90,6.0610,13.15,4790,63.5,10.975,10.950,nan,nan
103,train,6.1561,0.0009,12.82,6.0281,11.08,4353,64.1,11.859,11.848,nan,nan
104,train,6.1323,0.0025,14.51,6.0494,14.97,3922,64.6,12.968,12.964,nan,nan
105,train,6.2720,0.0017,13.75,6.0725,15.85,4160,65.2,11.704,11.697,nan,nan
106,train,5.7492,0.0256,11.41,5.4899,8.51,4254,65.8,9.430,9.419,nan,nan
107,train,5.6305,0.0077,9.73,5.4578,8.89,4680,66.4,6.239,6.138,nan,nan
108,train,6.3052,0.0010,14.93,6.2376,14.61,4158,67.0,13.290,13.274,nan,nan
109,train,6.3243,0.0015,17.96,6.2626,18.84,4521,67.6,16.055,16.040,nan,nan
110,train,5.7531,0.0284,8.81,5.6240,6.71,4293,68.1,6.837,6.785,nan,nan
111,train,6.1913,0.0082,16.20,6.0266,17.24,5108,68.7,14.017,13.995,nan,nan
112,train,6.2132,0.0023,14.75,5.9178,11.96,4260,69.3,13.295,13.263,nan,nan
113,train,6.1346,0.0293,15.79,5.8540,14.96,4228,69.9,13.515,13.494,nan,nan
114,train,5.9550,0.0112,13.36,5.7734,12.96,4390,70.5,11.306,11.287,nan,nan
115,train,6.5957,0.0014,16.62,6.4723,17.21,4911,71.0,13.150,13.107,nan,nan
116,train,6.5029,0.0010,19.21,6.3633,20.00,4786,71.6,15.856,15.843,nan,nan
117,train,6.2716,0.0014,13.64,6.1091,12.30,5049,72.2,12.009,11.944,nan,nan
118,train,5.6800,0.0112,11.16,5.4155,11.13,4013,72.8,9.903,9.887,nan,nan
119,train,5.7770,0.0416,11.13,5.5295,10.34,4707,73.4,12.531,12.483,nan,nan
120,train,6.5204,0.0006,18.14,6.4269,19.55,4780,74.0,14.892,14.850,nan,nan
121,train,5.5705,0.0220,11.14,5.3272,9.20,4413,74.5,8.639,8.559,nan,nan
122,train,6.0687,0.0047,14.32,5.8746,14.12,4877,75.1,11.603,11.567,nan,nan
123,train,7.1041,0.0002,20.75,6.9497,22.57,5263,75.7,18.142,18.123,nan,nan
124,train,5.8049,0.0076,10.72,5.5087,10.05,4318,76.3,7.547,7.516,nan,nan
125,train,5.7597,0.0159,12.24,5.4167,9.74,5032,76.9,9.446,9.411,nan,nan
126,train,6.4050,0.0146,15.39,6.0897,16.13,5197,77.5,13.826,13.784,nan,nan
127,train,6.2387,0.0006,15.81,6.1246,14.36,5033,78.0,13.809,13.773,nan,nan
128,train,6.0822,0.0024,10.96,5.9079,9.29,4665,78.6,9.046,9.017,nan,nan
129,train,6.1573,0.0020,18.05,6.0496,17.67,5057,79.2,13.935,13.914,nan,nan
130,train,6.9619,0.0002,25.52,6.8534,24.99,5230,79.8,22.468,22.403,nan,nan
131,train,6.4187,0.0023,14.96,6.3121,14.16,3956,80.4,12.805,12.714,nan,nan
132,train,6.1532,0.0004,14.90,6.0046,15.75,4672,81.0,12.600,12.535,nan,nan
133,train,5.9021,0.0045,12.20,5.7652,11.95,4863,81.5,9.861,9.850,nan,nan
134,train,6.2269,0.0085,14.40,5.9510,12.28,3999,82.1,12.277,12.183,nan,nan
135,train,6.4050,0.0018,18.95,6.0860,19.28,4335,82.7,16.425,16.392,nan,nan
136,train,5.6983,0.0139,10.58,5.6369,11.32,5025,83.3,8.670,8.630,nan,nan
137,train,5.9823,0.0029,14.60,5.7454,14.51,5211,83.9,12.497,12.494,nan,nan
138,train,6.6785,0.0005,16.96,6.4005,14.89,4352,84.5,14.228,14.154,nan,nan
